Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/7/2019;3:59:41 PM;Default;1306;SENSOR1;0.005;min;187.630;hPa;28.040;deg;60,845;µV;20.000;°C;
1/7/2019;3:59:42 PM;Default;1306;SENSOR1;0.021;min;187.650;hPa;28.040;deg;60,852;µV;20.000;°C;
1/7/2019;3:59:43 PM;Default;1306;SENSOR1;0.038;min;187.670;hPa;28.040;deg;60,857;µV;20.000;°C;
1/7/2019;3:59:44 PM;Default;1306;SENSOR1;0.055;min;187.610;hPa;28.040;deg;60,854;µV;20.000;°C;
1/7/2019;3:59:45 PM;Default;1306;SENSOR1;0.072;min;187.470;hPa;28.050;deg;60,863;µV;20.000;°C;
1/7/2019;3:59:46 PM;Default;1306;SENSOR1;0.089;min;187.600;hPa;28.040;deg;60,867;µV;20.000;°C;
1/7/2019;3:59:47 PM;Default;1306;SENSOR1;0.106;min;187.490;hPa;28.050;deg;60,868;µV;20.000;°C;
1/7/2019;3:59:48 PM;Default;1306;SENSOR1;0.123;min;187.720;hPa;28.040;deg;60,866;µV;20.000;°C;
1/7/2019;3:59:49 PM;Default;1306;SENSOR1;0.139;min;187.340;hPa;28.060;deg;60,873;µV;20.000;°C;
1/7/2019;3:59:50 PM;Default;1306;SENSOR1;0.156;min;187.130;hPa;28.070;deg;61,095;µV;20.000;°C;
1/7/2019;3:59:51 PM;Default;1306;SENSOR1;0.173;min;185.210;hPa;28.180;deg;60,803;µV;20.000;°C;
1/7/2019;3:59:52 PM;Default;1306;SENSOR1;0.190;min;184.510;hPa;28.220;deg;60,657;µV;20.000;°C;
1/7/2019;3:59:53 PM;Default;1306;SENSOR1;0.207;min;183.890;hPa;28.260;deg;60,750;µV;20.000;°C;
1/7/2019;3:59:54 PM;Default;1306;SENSOR1;0.223;min;185.470;hPa;28.170;deg;60,049;µV;20.000;°C;
1/7/2019;3:59:55 PM;Default;1306;SENSOR1;0.240;min;181.430;hPa;28.400;deg;60,984;µV;20.000;°C;
1/7/2019;3:59:56 PM;Default;1306;SENSOR1;0.257;min;166.220;hPa;29.370;deg;63,868;µV;20.000;°C;
1/7/2019;3:59:57 PM;Default;1306;SENSOR1;0.274;min;149.170;hPa;30.580;deg;67,685;µV;20.000;°C;
1/7/2019;3:59:58 PM;Default;1306;SENSOR1;0.290;min;133.360;hPa;31.860;deg;71,476;µV;20.000;°C;
1/7/2019;3:59:59 PM;Default;1306;SENSOR1;0.307;min;119.130;hPa;33.170;deg;75,355;µV;20.000;°C;
1/7/2019;4:00:00 PM;Default;1306;SENSOR1;0.324;min;106.540;hPa;34.480;deg;79,187;µV;20.000;°C;
1/7/2019;4:00:01 PM;Default;1306;SENSOR1;0.341;min;95.500;hPa;35.780;deg;83,125;µV;20.000;°C;
1/7/2019;4:00:02 PM;Default;1306;SENSOR1;0.357;min;85.800;hPa;37.060;deg;86,940;µV;20.000;°C;
1/7/2019;4:00:03 PM;Default;1306;SENSOR1;0.374;min;77.260;hPa;38.300;deg;90,496;µV;20.000;°C;
1/7/2019;4:00:04 PM;Default;1306;SENSOR1;0.391;min;69.370;hPa;39.580;deg;94,084;µV;20.000;°C;
1/7/2019;4:00:05 PM;Default;1306;SENSOR1;0.408;min;62.360;hPa;40.820;deg;97,472;µV;20.000;°C;
1/7/2019;4:00:06 PM;Default;1306;SENSOR1;0.425;min;56.240;hPa;42.010;deg;100,665;µV;20.000;°C;
1/7/2019;4:00:07 PM;Default;1306;SENSOR1;0.441;min;50.910;hPa;43.120;deg;103,575;µV;20.000;°C;
1/7/2019;4:00:08 PM;Default;1306;SENSOR1;0.458;min;46.150;hPa;44.200;deg;106,313;µV;20.000;°C;
1/7/2019;4:00:09 PM;Default;1306;SENSOR1;0.475;min;41.910;hPa;45.220;deg;108,842;µV;20.000;°C;
1/7/2019;4:00:10 PM;Default;1306;SENSOR1;0.492;min;38.160;hPa;46.190;deg;111,158;µV;20.000;°C;
1/7/2019;4:00:11 PM;Default;1306;SENSOR1;0.509;min;34.780;hPa;47.110;deg;113,248;µV;20.000;°C;
1/7/2019;4:00:12 PM;Default;1306;SENSOR1;0.526;min;31.810;hPa;47.960;deg;114,956;µV;20.000;°C;
1/7/2019;4:00:13 PM;Default;1306;SENSOR1;0.542;min;29.230;hPa;48.730;deg;116,265;µV;20.000;°C;
1/7/2019;4:00:14 PM;Default;1306;SENSOR1;0.559;min;26.860;hPa;49.480;deg;117,402;µV;20.000;°C;
1/7/2019;4:00:15 PM;Default;1306;SENSOR1;0.581;min;24.290;hPa;50.310;deg;118,514;µV;20.000;°C;
1/7/2019;4:00:16 PM;Default;1306;SENSOR1;0.593;min;22.920;hPa;50.780;deg;119,084;µV;20.000;°C;
1/7/2019;4:00:17 PM;Default;1306;SENSOR1;0.610;min;21.310;hPa;51.330;deg;119,734;µV;20.000;°C;
1/7/2019;4:00:18 PM;Default;1306;SENSOR1;0.627;min;19.850;hPa;51.850;deg;120,317;µV;20.000;°C;
1/7/2019;4:00:19 PM;Default;1306;SENSOR1;0.644;min;18.520;hPa;52.340;deg;120,829;µV;20.000;°C;
1/7/2019;4:00:20 PM;Default;1306;SENSOR1;0.660;min;17.410;hPa;52.750;deg;121,221;µV;20.000;°C;
1/7/2019;4:00:21 PM;Default;1306;SENSOR1;0.677;min;16.380;hPa;53.140;deg;121,568;µV;20.000;°C;
1/7/2019;4:00:23 PM;Default;1306;SENSOR1;0.694;min;15.460;hPa;53.500;deg;121,899;µV;20.000;°C;
1/7/2019;4:00:24 PM;Default;1306;SENSOR1;0.711;min;14.640;hPa;53.820;deg;122,164;µV;20.000;°C;
1/7/2019;4:00:25 PM;Default;1306;SENSOR1;0.727;min;13.920;hPa;54.110;deg;122,400;µV;20.000;°C;
1/7/2019;4:00:26 PM;Default;1306;SENSOR1;0.744;min;13.290;hPa;54.360;deg;122,623;µV;20.000;°C;
1/7/2019;4:00:27 PM;Default;1306;SENSOR1;0.761;min;12.710;hPa;54.600;deg;122,800;µV;20.000;°C;
1/7/2019;4:00:28 PM;Default;1306;SENSOR1;0.778;min;12.200;hPa;54.820;deg;122,954;µV;20.000;°C;
1/7/2019;4:00:29 PM;Default;1306;SENSOR1;0.795;min;11.750;hPa;55.000;deg;123,088;µV;20.000;°C;
1/7/2019;4:00:30 PM;Default;1306;SENSOR1;0.811;min;11.320;hPa;55.180;deg;123,225;µV;20.000;°C;
1/7/2019;4:00:31 PM;Default;1306;SENSOR1;0.828;min;10.970;hPa;55.330;deg;123,323;µV;20.000;°C;
1/7/2019;4:00:32 PM;Default;1306;SENSOR1;0.845;min;10.680;hPa;55.450;deg;123,428;µV;20.000;°C;
1/7/2019;4:00:33 PM;Default;1306;SENSOR1;0.862;min;10.360;hPa;55.590;deg;123,525;µV;20.000;°C;
1/7/2019;4:00:34 PM;Default;1306;SENSOR1;0.879;min;10.090;hPa;55.710;deg;123,591;µV;20.000;°C;
1/7/2019;4:00:35 PM;Default;1306;SENSOR1;0.895;min;9.860;hPa;55.810;deg;123,680;µV;20.000;°C;
1/7/2019;4:00:36 PM;Default;1306;SENSOR1;0.912;min;9.680;hPa;55.890;deg;123,757;µV;20.000;°C;
1/7/2019;4:00:37 PM;Default;1306;SENSOR1;0.929;min;9.490;hPa;55.970;deg;123,816;µV;20.000;°C;
1/7/2019;4:00:38 PM;Default;1306;SENSOR1;0.946;min;9.320;hPa;56.040;deg;123,862;µV;20.000;°C;
1/7/2019;4:00:39 PM;Default;1306;SENSOR1;0.962;min;9.160;hPa;56.110;deg;123,903;µV;20.000;°C;
1/7/2019;4:00:40 PM;Default;1306;SENSOR1;0.979;min;9.040;hPa;56.170;deg;123,952;µV;20.000;°C;
1/7/2019;4:00:41 PM;Default;1306;SENSOR1;0.996;min;8.910;hPa;56.220;deg;123,973;µV;20.000;°C;
1/7/2019;4:00:42 PM;Default;1306;SENSOR1;1.013;min;8.830;hPa;56.260;deg;124,010;µV;20.000;°C;
1/7/2019;4:00:43 PM;Default;1306;SENSOR1;1.030;min;8.750;hPa;56.290;deg;124,027;µV;20.000;°C;
1/7/2019;4:00:44 PM;Default;1306;SENSOR1;1.047;min;8.650;hPa;56.340;deg;124,061;µV;20.000;°C;
1/7/2019;4:00:45 PM;Default;1306;SENSOR1;1.064;min;8.570;hPa;56.370;deg;124,072;µV;20.000;°C;
1/7/2019;4:00:46 PM;Default;1306;SENSOR1;1.081;min;8.530;hPa;56.390;deg;124,095;µV;20.000;°C;
1/7/2019;4:00:47 PM;Default;1306;SENSOR1;1.098;min;8.440;hPa;56.430;deg;124,122;µV;20.000;°C;
1/7/2019;4:00:48 PM;Default;1306;SENSOR1;1.115;min;8.420;hPa;56.440;deg;124,137;µV;20.000;°C;
1/7/2019;4:00:49 PM;Default;1306;SENSOR1;1.132;min;8.340;hPa;56.480;deg;124,143;µV;20.000;°C;
1/7/2019;4:00:50 PM;Default;1306;SENSOR1;1.148;min;8.290;hPa;56.500;deg;124,155;µV;20.000;°C;
1/7/2019;4:00:51 PM;Default;1306;SENSOR1;1.165;min;8.260;hPa;56.510;deg;124,180;µV;20.000;°C;
1/7/2019;4:00:52 PM;Default;1306;SENSOR1;1.182;min;8.230;hPa;56.520;deg;124,175;µV;20.000;°C;
1/7/2019;4:00:53 PM;Default;1306;SENSOR1;1.199;min;8.180;hPa;56.550;deg;124,193;µV;20.000;°C;
1/7/2019;4:00:54 PM;Default;1306;SENSOR1;1.215;min;8.180;hPa;56.540;deg;124,200;µV;20.000;°C;
1/7/2019;4:00:55 PM;Default;1306;SENSOR1;1.232;min;8.150;hPa;56.560;deg;124,198;µV;20.000;°C;
1/7/2019;4:00:56 PM;Default;1306;SENSOR1;1.249;min;8.110;hPa;56.580;deg;124,209;µV;20.000;°C;
1/7/2019;4:00:57 PM;Default;1306;SENSOR1;1.266;min;8.100;hPa;56.580;deg;124,208;µV;20.000;°C;
1/7/2019;4:00:58 PM;Default;1306;SENSOR1;1.283;min;8.070;hPa;56.590;deg;124,212;µV;20.000;°C;
1/7/2019;4:00:59 PM;Default;1306;SENSOR1;1.300;min;8.050;hPa;56.600;deg;124,214;µV;20.000;°C;
1/7/2019;4:01:00 PM;Default;1306;SENSOR1;1.317;min;8.030;hPa;56.610;deg;124,226;µV;20.000;°C;
1/7/2019;4:01:01 PM;Default;1306;SENSOR1;1.333;min;8.030;hPa;56.620;deg;124,226;µV;20.000;°C;
1/7/2019;4:01:02 PM;Default;1306;SENSOR1;1.350;min;8.040;hPa;56.610;deg;124,231;µV;20.000;°C;
1/7/2019;4:01:03 PM;Default;1306;SENSOR1;1.367;min;8.020;hPa;56.620;deg;124,230;µV;20.000;°C;
1/7/2019;4:01:04 PM;Default;1306;SENSOR1;1.384;min;7.990;hPa;56.630;deg;124,240;µV;20.000;°C;
1/7/2019;4:01:05 PM;Default;1306;SENSOR1;1.400;min;8.000;hPa;56.630;deg;124,247;µV;20.000;°C;
