Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
4/1/2019;12:15:20 PM;Default;1306;SENSOR1;0.157;min;189.930;hPa;27.730;deg;26,858;µV;21.000;°C;
4/1/2019;12:15:20 PM;Default;1306;SENSOR1;0.009;min;189.980;hPa;27.730;deg;26,853;µV;21.000;°C;
4/1/2019;12:15:21 PM;Default;1306;SENSOR1;0.023;min;190.080;hPa;27.720;deg;26,848;µV;21.000;°C;
4/1/2019;12:15:22 PM;Default;1306;SENSOR1;0.040;min;190.230;hPa;27.710;deg;26,687;µV;21.000;°C;
4/1/2019;12:15:23 PM;Default;1306;SENSOR1;0.056;min;188.410;hPa;27.820;deg;26,502;µV;21.000;°C;
4/1/2019;12:15:24 PM;Default;1306;SENSOR1;0.073;min;185.660;hPa;27.970;deg;26,382;µV;21.000;°C;
4/1/2019;12:15:25 PM;Default;1306;SENSOR1;0.090;min;187.390;hPa;27.870;deg;26,596;µV;21.000;°C;
4/1/2019;12:15:26 PM;Default;1306;SENSOR1;0.107;min;200.480;hPa;27.150;deg;25,301;µV;21.000;°C;
4/1/2019;12:15:27 PM;Default;1306;SENSOR1;0.123;min;226.580;hPa;25.880;deg;23,632;µV;21.000;°C;
4/1/2019;12:15:28 PM;Default;1306;SENSOR1;0.140;min;255.690;hPa;24.650;deg;22,007;µV;21.000;°C;
4/1/2019;12:15:29 PM;Default;1306;SENSOR1;0.157;min;283.390;hPa;23.640;deg;20,676;µV;21.000;°C;
4/1/2019;12:15:30 PM;Default;1306;SENSOR1;0.174;min;308.570;hPa;22.820;deg;19,573;µV;21.000;°C;
4/1/2019;12:15:31 PM;Default;1306;SENSOR1;0.190;min;332.250;hPa;22.130;deg;18,669;µV;21.000;°C;
4/1/2019;12:15:32 PM;Default;1306;SENSOR1;0.207;min;353.750;hPa;21.550;deg;17,891;µV;21.000;°C;
4/1/2019;12:15:33 PM;Default;1306;SENSOR1;0.224;min;374.340;hPa;21.030;deg;17,236;µV;21.000;°C;
4/1/2019;12:15:34 PM;Default;1306;SENSOR1;0.240;min;391.080;hPa;20.630;deg;16,682;µV;21.000;°C;
4/1/2019;12:15:35 PM;Default;1306;SENSOR1;0.257;min;408.480;hPa;20.240;deg;16,216;µV;21.000;°C;
4/1/2019;12:15:36 PM;Default;1306;SENSOR1;0.274;min;424.040;hPa;19.910;deg;16,121;µV;21.000;°C;
4/1/2019;12:15:37 PM;Default;1306;SENSOR1;0.291;min;437.470;hPa;19.640;deg;15,635;µV;21.000;°C;
4/1/2019;12:15:38 PM;Default;1306;SENSOR1;0.308;min;448.990;hPa;19.410;deg;15,305;µV;21.000;°C;
4/1/2019;12:15:39 PM;Default;1306;SENSOR1;0.324;min;461.000;hPa;19.180;deg;15,002;µV;21.000;°C;
4/1/2019;12:15:40 PM;Default;1306;SENSOR1;0.342;min;472.790;hPa;18.970;deg;14,749;µV;21.000;°C;
4/1/2019;12:15:41 PM;Default;1306;SENSOR1;0.358;min;481.010;hPa;18.820;deg;14,524;µV;21.000;°C;
4/1/2019;12:15:42 PM;Default;1306;SENSOR1;0.375;min;490.660;hPa;18.650;deg;14,323;µV;21.000;°C;
4/1/2019;12:15:43 PM;Default;1306;SENSOR1;0.391;min;497.910;hPa;18.520;deg;14,144;µV;21.000;°C;
4/1/2019;12:15:44 PM;Default;1306;SENSOR1;0.408;min;505.770;hPa;18.390;deg;13,986;µV;21.000;°C;
4/1/2019;12:15:45 PM;Default;1306;SENSOR1;0.425;min;512.200;hPa;18.280;deg;13,838;µV;21.000;°C;
4/1/2019;12:15:46 PM;Default;1306;SENSOR1;0.441;min;518.730;hPa;18.180;deg;13,707;µV;21.000;°C;
4/1/2019;12:15:47 PM;Default;1306;SENSOR1;0.458;min;524.550;hPa;18.080;deg;13,587;µV;21.000;°C;
4/1/2019;12:15:48 PM;Default;1306;SENSOR1;0.475;min;528.430;hPa;18.020;deg;13,482;µV;21.000;°C;
4/1/2019;12:15:49 PM;Default;1306;SENSOR1;0.492;min;534.830;hPa;17.920;deg;13,384;µV;21.000;°C;
4/1/2019;12:15:50 PM;Default;1306;SENSOR1;0.508;min;538.740;hPa;17.860;deg;13,294;µV;21.000;°C;
4/1/2019;12:15:51 PM;Default;1306;SENSOR1;0.525;min;543.400;hPa;17.790;deg;13,217;µV;21.000;°C;
4/1/2019;12:15:52 PM;Default;1306;SENSOR1;0.542;min;546.540;hPa;17.740;deg;13,147;µV;21.000;°C;
4/1/2019;12:15:53 PM;Default;1306;SENSOR1;0.558;min;548.640;hPa;17.710;deg;13,086;µV;21.000;°C;
4/1/2019;12:15:54 PM;Default;1306;SENSOR1;0.575;min;552.610;hPa;17.650;deg;13,022;µV;21.000;°C;
4/1/2019;12:15:55 PM;Default;1306;SENSOR1;0.592;min;556.270;hPa;17.590;deg;12,964;µV;21.000;°C;
4/1/2019;12:15:56 PM;Default;1306;SENSOR1;0.609;min;556.940;hPa;17.580;deg;12,920;µV;21.000;°C;
4/1/2019;12:15:57 PM;Default;1306;SENSOR1;0.626;min;559.900;hPa;17.540;deg;12,881;µV;21.000;°C;
4/1/2019;12:15:58 PM;Default;1306;SENSOR1;0.643;min;562.340;hPa;17.500;deg;12,839;µV;21.000;°C;
4/1/2019;12:15:59 PM;Default;1306;SENSOR1;0.660;min;563.900;hPa;17.480;deg;12,805;µV;21.000;°C;
4/1/2019;12:16:00 PM;Default;1306;SENSOR1;0.677;min;566.840;hPa;17.430;deg;12,762;µV;21.000;°C;
4/1/2019;12:16:01 PM;Default;1306;SENSOR1;0.693;min;568.760;hPa;17.410;deg;12,734;µV;21.000;°C;
4/1/2019;12:16:02 PM;Default;1306;SENSOR1;0.711;min;571.100;hPa;17.370;deg;12,703;µV;21.000;°C;
4/1/2019;12:16:03 PM;Default;1306;SENSOR1;0.727;min;572.210;hPa;17.360;deg;12,680;µV;21.000;°C;
4/1/2019;12:16:04 PM;Default;1306;SENSOR1;0.744;min;572.210;hPa;17.360;deg;12,656;µV;21.000;°C;
4/1/2019;12:16:05 PM;Default;1306;SENSOR1;0.761;min;573.110;hPa;17.340;deg;12,633;µV;21.000;°C;
4/1/2019;12:16:06 PM;Default;1306;SENSOR1;0.778;min;574.990;hPa;17.320;deg;12,611;µV;21.000;°C;
4/1/2019;12:16:07 PM;Default;1306;SENSOR1;0.794;min;574.990;hPa;17.320;deg;12,597;µV;21.000;°C;
4/1/2019;12:16:08 PM;Default;1306;SENSOR1;0.811;min;578.210;hPa;17.270;deg;12,577;µV;21.000;°C;
4/1/2019;12:16:09 PM;Default;1306;SENSOR1;0.828;min;577.780;hPa;17.280;deg;12,565;µV;21.000;°C;
4/1/2019;12:16:10 PM;Default;1306;SENSOR1;0.845;min;577.640;hPa;17.280;deg;12,543;µV;21.000;°C;
4/1/2019;12:16:11 PM;Default;1306;SENSOR1;0.862;min;579.260;hPa;17.260;deg;12,529;µV;21.000;°C;
4/1/2019;12:16:12 PM;Default;1306;SENSOR1;0.878;min;577.930;hPa;17.270;deg;12,516;µV;21.000;°C;
4/1/2019;12:16:13 PM;Default;1306;SENSOR1;0.895;min;581.300;hPa;17.230;deg;12,502;µV;21.000;°C;
4/1/2019;12:16:14 PM;Default;1306;SENSOR1;0.912;min;579.260;hPa;17.260;deg;12,495;µV;21.000;°C;
4/1/2019;12:16:15 PM;Default;1306;SENSOR1;0.928;min;579.960;hPa;17.250;deg;12,490;µV;21.000;°C;
4/1/2019;12:16:16 PM;Default;1306;SENSOR1;0.945;min;580.240;hPa;17.240;deg;12,471;µV;21.000;°C;
4/1/2019;12:16:17 PM;Default;1306;SENSOR1;0.962;min;582.080;hPa;17.220;deg;12,467;µV;21.000;°C;
4/1/2019;12:16:18 PM;Default;1306;SENSOR1;0.979;min;582.150;hPa;17.220;deg;12,457;µV;21.000;°C;
4/1/2019;12:16:19 PM;Default;1306;SENSOR1;0.995;min;583.280;hPa;17.200;deg;12,451;µV;21.000;°C;
4/1/2019;12:16:20 PM;Default;1306;SENSOR1;1.012;min;582.570;hPa;17.210;deg;12,438;µV;21.000;°C;
4/1/2019;12:16:21 PM;Default;1306;SENSOR1;1.029;min;583.430;hPa;17.200;deg;12,430;µV;21.000;°C;
4/1/2019;12:16:22 PM;Default;1306;SENSOR1;1.046;min;583.210;hPa;17.200;deg;12,423;µV;21.000;°C;
4/1/2019;12:16:23 PM;Default;1306;SENSOR1;1.063;min;584.490;hPa;17.180;deg;12,417;µV;21.000;°C;
4/1/2019;12:16:24 PM;Default;1306;SENSOR1;1.079;min;584.780;hPa;17.180;deg;12,412;µV;21.000;°C;
4/1/2019;12:16:25 PM;Default;1306;SENSOR1;1.096;min;585.560;hPa;17.170;deg;12,408;µV;21.000;°C;
4/1/2019;12:16:26 PM;Default;1306;SENSOR1;1.113;min;586.340;hPa;17.160;deg;12,401;µV;21.000;°C;
4/1/2019;12:16:27 PM;Default;1306;SENSOR1;1.130;min;586.480;hPa;17.150;deg;12,396;µV;21.000;°C;
4/1/2019;12:16:28 PM;Default;1306;SENSOR1;1.146;min;586.130;hPa;17.160;deg;12,392;µV;21.000;°C;
4/1/2019;12:16:29 PM;Default;1306;SENSOR1;1.163;min;586.130;hPa;17.160;deg;12,390;µV;21.000;°C;
4/1/2019;12:16:30 PM;Default;1306;SENSOR1;1.180;min;585.700;hPa;17.160;deg;12,385;µV;21.000;°C;
4/1/2019;12:16:31 PM;Default;1306;SENSOR1;1.197;min;586.980;hPa;17.150;deg;12,383;µV;21.000;°C;
4/1/2019;12:16:32 PM;Default;1306;SENSOR1;1.214;min;585.700;hPa;17.160;deg;12,375;µV;21.000;°C;
4/1/2019;12:16:33 PM;Default;1306;SENSOR1;1.230;min;586.200;hPa;17.160;deg;12,374;µV;21.000;°C;
4/1/2019;12:16:34 PM;Default;1306;SENSOR1;1.248;min;586.910;hPa;17.150;deg;12,368;µV;21.000;°C;
4/1/2019;12:16:35 PM;Default;1306;SENSOR1;1.264;min;586.840;hPa;17.150;deg;12,364;µV;21.000;°C;
4/1/2019;12:16:36 PM;Default;1306;SENSOR1;1.281;min;586.700;hPa;17.150;deg;12,365;µV;21.000;°C;
4/1/2019;12:16:37 PM;Default;1306;SENSOR1;1.298;min;586.630;hPa;17.150;deg;12,357;µV;21.000;°C;
4/1/2019;12:16:38 PM;Default;1306;SENSOR1;1.315;min;587.700;hPa;17.140;deg;12,353;µV;21.000;°C;
4/1/2019;12:16:39 PM;Default;1306;SENSOR1;1.331;min;586.990;hPa;17.150;deg;12,352;µV;21.000;°C;
4/1/2019;12:16:40 PM;Default;1306;SENSOR1;1.348;min;587.340;hPa;17.140;deg;12,352;µV;21.000;°C;
4/1/2019;12:16:41 PM;Default;1306;SENSOR1;1.365;min;587.560;hPa;17.140;deg;12,350;µV;21.000;°C;
4/1/2019;12:16:42 PM;Default;1306;SENSOR1;1.382;min;586.980;hPa;17.150;deg;12,343;µV;21.000;°C;
4/1/2019;12:16:43 PM;Default;1306;SENSOR1;1.398;min;588.770;hPa;17.120;deg;12,348;µV;21.000;°C;
4/1/2019;12:16:44 PM;Default;1306;SENSOR1;1.415;min;586.980;hPa;17.150;deg;12,340;µV;21.000;°C;
4/1/2019;12:16:45 PM;Default;1306;SENSOR1;1.432;min;589.130;hPa;17.120;deg;12,343;µV;21.000;°C;
4/1/2019;12:16:46 PM;Default;1306;SENSOR1;1.449;min;588.060;hPa;17.130;deg;12,341;µV;21.000;°C;
4/1/2019;12:16:47 PM;Default;1306;SENSOR1;1.466;min;587.130;hPa;17.150;deg;12,333;µV;21.000;°C;
4/1/2019;12:16:48 PM;Default;1306;SENSOR1;1.482;min;588.490;hPa;17.130;deg;12,334;µV;21.000;°C;
4/1/2019;12:16:49 PM;Default;1306;SENSOR1;1.499;min;587.840;hPa;17.130;deg;12,333;µV;21.000;°C;
4/1/2019;12:16:50 PM;Default;1306;SENSOR1;1.516;min;586.630;hPa;17.150;deg;12,327;µV;21.000;°C;
4/1/2019;12:16:51 PM;Default;1306;SENSOR1;1.533;min;588.560;hPa;17.120;deg;12,328;µV;21.000;°C;
4/1/2019;12:16:52 PM;Default;1306;SENSOR1;1.549;min;588.560;hPa;17.120;deg;12,325;µV;21.000;°C;
4/1/2019;12:16:53 PM;Default;1306;SENSOR1;1.566;min;587.130;hPa;17.150;deg;12,327;µV;21.000;°C;
4/1/2019;12:16:54 PM;Default;1306;SENSOR1;1.583;min;587.130;hPa;17.150;deg;12,324;µV;21.000;°C;
4/1/2019;12:16:55 PM;Default;1306;SENSOR1;1.600;min;588.340;hPa;17.130;deg;12,323;µV;21.000;°C;
4/1/2019;12:16:56 PM;Default;1306;SENSOR1;1.617;min;589.060;hPa;17.120;deg;12,317;µV;21.000;°C;
4/1/2019;12:16:57 PM;Default;1306;SENSOR1;1.634;min;589.490;hPa;17.110;deg;12,317;µV;21.000;°C;
4/1/2019;12:16:58 PM;Default;1306;SENSOR1;1.650;min;589.560;hPa;17.110;deg;12,313;µV;21.000;°C;
4/1/2019;12:16:59 PM;Default;1306;SENSOR1;1.667;min;588.340;hPa;17.130;deg;12,317;µV;21.000;°C;
4/1/2019;12:17:00 PM;Default;1306;SENSOR1;1.684;min;587.560;hPa;17.140;deg;12,309;µV;21.000;°C;
4/1/2019;12:17:01 PM;Default;1306;SENSOR1;1.701;min;588.420;hPa;17.130;deg;12,311;µV;21.000;°C;
4/1/2019;12:17:02 PM;Default;1306;SENSOR1;1.718;min;588.920;hPa;17.120;deg;12,312;µV;21.000;°C;
4/1/2019;12:17:03 PM;Default;1306;SENSOR1;1.734;min;588.630;hPa;17.120;deg;12,313;µV;21.000;°C;
4/1/2019;12:17:04 PM;Default;1306;SENSOR1;1.751;min;588.990;hPa;17.120;deg;12,305;µV;21.000;°C;
4/1/2019;12:17:05 PM;Default;1306;SENSOR1;1.768;min;587.480;hPa;17.140;deg;12,306;µV;21.000;°C;
4/1/2019;12:17:06 PM;Default;1306;SENSOR1;1.784;min;587.480;hPa;17.140;deg;12,304;µV;21.000;°C;
4/1/2019;12:17:07 PM;Default;1306;SENSOR1;1.801;min;589.350;hPa;17.110;deg;12,309;µV;21.000;°C;
4/1/2019;12:17:08 PM;Default;1306;SENSOR1;1.818;min;589.920;hPa;17.110;deg;12,303;µV;21.000;°C;
4/1/2019;12:17:09 PM;Default;1306;SENSOR1;1.835;min;588.340;hPa;17.130;deg;12,302;µV;21.000;°C;
4/1/2019;12:17:10 PM;Default;1306;SENSOR1;1.852;min;589.420;hPa;17.110;deg;12,300;µV;21.000;°C;
4/1/2019;12:17:11 PM;Default;1306;SENSOR1;1.869;min;590.860;hPa;17.090;deg;12,296;µV;21.000;°C;
