Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/14/2019;2:55:00 PM;Default;2825;ANNE2;0.004;min;190.230;hPa;28.130;deg;14,902;µV;19.000;°C;
1/14/2019;2:55:01 PM;Default;2825;ANNE2;0.021;min;190.250;hPa;28.130;deg;14,949;µV;19.000;°C;
1/14/2019;2:55:02 PM;Default;2825;ANNE2;0.038;min;189.950;hPa;28.150;deg;14,987;µV;19.000;°C;
1/14/2019;2:55:03 PM;Default;2825;ANNE2;0.055;min;190.210;hPa;28.130;deg;14,961;µV;19.000;°C;
1/14/2019;2:55:04 PM;Default;2825;ANNE2;0.072;min;190.350;hPa;28.120;deg;14,950;µV;19.000;°C;
1/14/2019;2:55:05 PM;Default;2825;ANNE2;0.089;min;190.280;hPa;28.130;deg;14,874;µV;19.000;°C;
1/14/2019;2:55:06 PM;Default;2825;ANNE2;0.106;min;190.330;hPa;28.120;deg;14,911;µV;19.000;°C;
1/14/2019;2:55:07 PM;Default;2825;ANNE2;0.122;min;189.840;hPa;28.150;deg;14,894;µV;19.000;°C;
1/14/2019;2:55:08 PM;Default;2825;ANNE2;0.139;min;189.820;hPa;28.150;deg;14,864;µV;19.000;°C;
1/14/2019;2:55:09 PM;Default;2825;ANNE2;0.156;min;190.280;hPa;28.130;deg;14,865;µV;19.000;°C;
1/14/2019;2:55:10 PM;Default;2825;ANNE2;0.172;min;189.600;hPa;28.170;deg;14,857;µV;19.000;°C;
1/14/2019;2:55:11 PM;Default;2825;ANNE2;0.189;min;189.950;hPa;28.150;deg;14,863;µV;19.000;°C;
1/14/2019;2:55:12 PM;Default;2825;ANNE2;0.206;min;189.860;hPa;28.150;deg;14,812;µV;19.000;°C;
1/14/2019;2:55:13 PM;Default;2825;ANNE2;0.223;min;189.860;hPa;28.150;deg;14,830;µV;19.000;°C;
1/14/2019;2:55:14 PM;Default;2825;ANNE2;0.240;min;189.980;hPa;28.140;deg;14,808;µV;19.000;°C;
1/14/2019;2:55:15 PM;Default;2825;ANNE2;0.257;min;189.980;hPa;28.140;deg;14,969;µV;19.000;°C;
1/14/2019;2:55:16 PM;Default;2825;ANNE2;0.274;min;189.890;hPa;28.150;deg;15,520;µV;19.000;°C;
1/14/2019;2:55:17 PM;Default;2825;ANNE2;0.291;min;189.740;hPa;28.160;deg;15,212;µV;19.000;°C;
1/14/2019;2:55:18 PM;Default;2825;ANNE2;0.307;min;189.580;hPa;28.170;deg;15,581;µV;19.000;°C;
1/14/2019;2:55:19 PM;Default;2825;ANNE2;0.324;min;186.830;hPa;28.330;deg;16,007;µV;19.000;°C;
1/14/2019;2:55:20 PM;Default;2825;ANNE2;0.341;min;209.480;hPa;27.100;deg;14,703;µV;19.000;°C;
1/14/2019;2:55:21 PM;Default;2825;ANNE2;0.357;min;239.300;hPa;25.720;deg;13,529;µV;19.000;°C;
1/14/2019;2:55:22 PM;Default;2825;ANNE2;0.374;min;269.450;hPa;24.520;deg;12,585;µV;19.000;°C;
1/14/2019;2:55:23 PM;Default;2825;ANNE2;0.392;min;297.600;hPa;23.540;deg;11,827;µV;19.000;°C;
1/14/2019;2:55:24 PM;Default;2825;ANNE2;0.408;min;323.670;hPa;22.740;deg;11,190;µV;19.000;°C;
1/14/2019;2:55:25 PM;Default;2825;ANNE2;0.425;min;348.500;hPa;22.040;deg;10,662;µV;19.000;°C;
1/14/2019;2:55:26 PM;Default;2825;ANNE2;0.442;min;370.660;hPa;21.470;deg;10,219;µV;19.000;°C;
1/14/2019;2:55:27 PM;Default;2825;ANNE2;0.458;min;391.720;hPa;20.960;deg;9,839;µV;19.000;°C;
1/14/2019;2:55:28 PM;Default;2825;ANNE2;0.475;min;411.190;hPa;20.530;deg;9,503;µV;19.000;°C;
