Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/14/2019;2:39:34 PM;Default;2825;ANNE2;0.005;min;429.730;hPa;20.130;deg;8,606;µV;19.000;°C;
1/14/2019;2:39:35 PM;Default;2825;ANNE2;0.021;min;426.800;hPa;20.190;deg;8,641;µV;19.000;°C;
1/14/2019;2:39:36 PM;Default;2825;ANNE2;0.038;min;424.500;hPa;20.240;deg;8,675;µV;19.000;°C;
1/14/2019;2:39:37 PM;Default;2825;ANNE2;0.055;min;421.090;hPa;20.310;deg;8,710;µV;19.000;°C;
1/14/2019;2:39:38 PM;Default;2825;ANNE2;0.072;min;418.500;hPa;20.370;deg;8,755;µV;19.000;°C;
1/14/2019;2:39:39 PM;Default;2825;ANNE2;0.089;min;416.820;hPa;20.400;deg;8,773;µV;19.000;°C;
1/14/2019;2:39:40 PM;Default;2825;ANNE2;0.106;min;416.270;hPa;20.420;deg;8,807;µV;19.000;°C;
1/14/2019;2:39:41 PM;Default;2825;ANNE2;0.123;min;414.130;hPa;20.460;deg;8,834;µV;19.000;°C;
1/14/2019;2:39:42 PM;Default;2825;ANNE2;0.140;min;413.530;hPa;20.480;deg;8,863;µV;19.000;°C;
1/14/2019;2:39:43 PM;Default;2825;ANNE2;0.156;min;410.140;hPa;20.550;deg;8,893;µV;19.000;°C;
1/14/2019;2:39:44 PM;Default;2825;ANNE2;0.173;min;407.730;hPa;20.600;deg;8,915;µV;19.000;°C;
1/14/2019;2:39:45 PM;Default;2825;ANNE2;0.190;min;407.180;hPa;20.610;deg;8,939;µV;19.000;°C;
1/14/2019;2:39:46 PM;Default;2825;ANNE2;0.207;min;405.060;hPa;20.660;deg;8,964;µV;19.000;°C;
1/14/2019;2:39:47 PM;Default;2825;ANNE2;0.223;min;403.670;hPa;20.690;deg;8,988;µV;19.000;°C;
1/14/2019;2:39:48 PM;Default;2825;ANNE2;0.241;min;401.660;hPa;20.740;deg;9,011;µV;19.000;°C;
1/14/2019;2:39:49 PM;Default;2825;ANNE2;0.257;min;399.360;hPa;20.790;deg;9,037;µV;19.000;°C;
1/14/2019;2:39:50 PM;Default;2825;ANNE2;0.274;min;398.560;hPa;20.810;deg;9,060;µV;19.000;°C;
1/14/2019;2:39:51 PM;Default;2825;ANNE2;0.291;min;397.680;hPa;20.830;deg;9,083;µV;19.000;°C;
1/14/2019;2:39:52 PM;Default;2825;ANNE2;0.308;min;395.970;hPa;20.870;deg;9,107;µV;19.000;°C;
1/14/2019;2:39:53 PM;Default;2825;ANNE2;0.325;min;395.060;hPa;20.890;deg;9,130;µV;19.000;°C;
1/14/2019;2:39:54 PM;Default;2825;ANNE2;0.342;min;393.620;hPa;20.920;deg;9,146;µV;19.000;°C;
1/14/2019;2:39:55 PM;Default;2825;ANNE2;0.358;min;392.100;hPa;20.960;deg;9,168;µV;19.000;°C;
1/14/2019;2:39:56 PM;Default;2825;ANNE2;0.375;min;391.240;hPa;20.980;deg;9,185;µV;19.000;°C;
1/14/2019;2:39:57 PM;Default;2825;ANNE2;0.392;min;389.910;hPa;21.010;deg;9,211;µV;19.000;°C;
1/14/2019;2:39:58 PM;Default;2825;ANNE2;0.409;min;389.820;hPa;21.010;deg;9,229;µV;19.000;°C;
1/14/2019;2:39:59 PM;Default;2825;ANNE2;0.426;min;388.200;hPa;21.050;deg;9,238;µV;19.000;°C;
1/14/2019;2:40:00 PM;Default;2825;ANNE2;0.442;min;387.470;hPa;21.060;deg;9,264;µV;19.000;°C;
1/14/2019;2:40:01 PM;Default;2825;ANNE2;0.459;min;385.440;hPa;21.110;deg;9,278;µV;19.000;°C;
1/14/2019;2:40:02 PM;Default;2825;ANNE2;0.476;min;383.580;hPa;21.160;deg;9,301;µV;19.000;°C;
1/14/2019;2:40:03 PM;Default;2825;ANNE2;0.492;min;384.510;hPa;21.130;deg;9,310;µV;19.000;°C;
1/14/2019;2:40:04 PM;Default;2825;ANNE2;0.509;min;382.360;hPa;21.180;deg;9,331;µV;19.000;°C;
1/14/2019;2:40:05 PM;Default;2825;ANNE2;0.526;min;381.400;hPa;21.210;deg;9,351;µV;19.000;°C;
1/14/2019;2:40:06 PM;Default;2825;ANNE2;0.543;min;380.280;hPa;21.230;deg;9,372;µV;19.000;°C;
1/14/2019;2:40:07 PM;Default;2825;ANNE2;0.560;min;380.440;hPa;21.230;deg;9,386;µV;19.000;°C;
1/14/2019;2:40:08 PM;Default;2825;ANNE2;0.576;min;379.570;hPa;21.250;deg;9,401;µV;19.000;°C;
1/14/2019;2:40:09 PM;Default;2825;ANNE2;0.593;min;377.540;hPa;21.300;deg;9,413;µV;19.000;°C;
1/14/2019;2:40:10 PM;Default;2825;ANNE2;0.610;min;375.940;hPa;21.340;deg;9,435;µV;19.000;°C;
