Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/14/2019;2:33:05 PM;Default;2825;ANNE2;0.004;min;188.370;hPa;28.240;deg;14,538;µV;19.000;°C;
1/14/2019;2:33:06 PM;Default;2825;ANNE2;0.021;min;188.060;hPa;28.260;deg;14,542;µV;19.000;°C;
1/14/2019;2:33:07 PM;Default;2825;ANNE2;0.038;min;187.870;hPa;28.270;deg;14,539;µV;19.000;°C;
1/14/2019;2:33:08 PM;Default;2825;ANNE2;0.055;min;188.620;hPa;28.220;deg;14,542;µV;19.000;°C;
1/14/2019;2:33:09 PM;Default;2825;ANNE2;0.071;min;188.250;hPa;28.240;deg;14,541;µV;19.000;°C;
1/14/2019;2:33:10 PM;Default;2825;ANNE2;0.088;min;188.250;hPa;28.240;deg;14,547;µV;19.000;°C;
1/14/2019;2:33:11 PM;Default;2825;ANNE2;0.105;min;188.180;hPa;28.250;deg;14,546;µV;19.000;°C;
1/14/2019;2:33:12 PM;Default;2825;ANNE2;0.122;min;188.200;hPa;28.250;deg;14,541;µV;19.000;°C;
1/14/2019;2:33:13 PM;Default;2825;ANNE2;0.139;min;188.010;hPa;28.260;deg;14,539;µV;19.000;°C;
1/14/2019;2:33:14 PM;Default;2825;ANNE2;0.155;min;188.700;hPa;28.220;deg;14,544;µV;19.000;°C;
1/14/2019;2:33:15 PM;Default;2825;ANNE2;0.172;min;187.750;hPa;28.270;deg;14,548;µV;19.000;°C;
1/14/2019;2:33:16 PM;Default;2825;ANNE2;0.189;min;187.130;hPa;28.310;deg;14,453;µV;19.000;°C;
1/14/2019;2:33:17 PM;Default;2825;ANNE2;0.206;min;187.490;hPa;28.290;deg;14,610;µV;19.000;°C;
1/14/2019;2:33:18 PM;Default;2825;ANNE2;0.222;min;187.130;hPa;28.310;deg;14,676;µV;19.000;°C;
1/14/2019;2:33:19 PM;Default;2825;ANNE2;0.239;min;187.890;hPa;28.260;deg;14,335;µV;19.000;°C;
1/14/2019;2:33:20 PM;Default;2825;ANNE2;0.256;min;187.940;hPa;28.260;deg;14,456;µV;19.000;°C;
1/14/2019;2:33:21 PM;Default;2825;ANNE2;0.273;min;188.130;hPa;28.250;deg;14,484;µV;19.000;°C;
1/14/2019;2:33:22 PM;Default;2825;ANNE2;0.289;min;187.640;hPa;28.280;deg;14,471;µV;19.000;°C;
1/14/2019;2:33:23 PM;Default;2825;ANNE2;0.306;min;188.220;hPa;28.250;deg;14,459;µV;19.000;°C;
1/14/2019;2:33:24 PM;Default;2825;ANNE2;0.323;min;188.650;hPa;28.220;deg;14,466;µV;19.000;°C;
1/14/2019;2:33:25 PM;Default;2825;ANNE2;0.340;min;188.230;hPa;28.240;deg;14,461;µV;19.000;°C;
1/14/2019;2:33:26 PM;Default;2825;ANNE2;0.356;min;188.490;hPa;28.230;deg;14,457;µV;19.000;°C;
1/14/2019;2:33:27 PM;Default;2825;ANNE2;0.373;min;188.230;hPa;28.240;deg;14,451;µV;19.000;°C;
1/14/2019;2:33:28 PM;Default;2825;ANNE2;0.390;min;188.090;hPa;28.250;deg;14,447;µV;19.000;°C;
1/14/2019;2:33:29 PM;Default;2825;ANNE2;0.407;min;188.410;hPa;28.240;deg;14,444;µV;19.000;°C;
1/14/2019;2:33:30 PM;Default;2825;ANNE2;0.424;min;188.150;hPa;28.250;deg;14,443;µV;19.000;°C;
1/14/2019;2:33:31 PM;Default;2825;ANNE2;0.440;min;188.150;hPa;28.250;deg;14,441;µV;19.000;°C;
1/14/2019;2:33:32 PM;Default;2825;ANNE2;0.457;min;188.090;hPa;28.250;deg;14,447;µV;19.000;°C;
1/14/2019;2:33:33 PM;Default;2825;ANNE2;0.474;min;187.770;hPa;28.270;deg;14,608;µV;19.000;°C;
1/14/2019;2:33:34 PM;Default;2825;ANNE2;0.491;min;188.420;hPa;28.230;deg;14,171;µV;19.000;°C;
1/14/2019;2:33:35 PM;Default;2825;ANNE2;0.508;min;188.250;hPa;28.240;deg;14,082;µV;19.000;°C;
1/14/2019;2:33:36 PM;Default;2825;ANNE2;0.525;min;188.040;hPa;28.260;deg;14,260;µV;19.000;°C;
1/14/2019;2:33:37 PM;Default;2825;ANNE2;0.542;min;188.480;hPa;28.230;deg;14,250;µV;19.000;°C;
1/14/2019;2:33:38 PM;Default;2825;ANNE2;0.559;min;188.670;hPa;28.220;deg;14,102;µV;19.000;°C;
1/14/2019;2:33:39 PM;Default;2825;ANNE2;0.576;min;188.580;hPa;28.220;deg;14,420;µV;19.000;°C;
1/14/2019;2:33:40 PM;Default;2825;ANNE2;0.593;min;188.720;hPa;28.220;deg;14,164;µV;19.000;°C;
1/14/2019;2:33:41 PM;Default;2825;ANNE2;0.609;min;188.690;hPa;28.220;deg;14,247;µV;19.000;°C;
1/14/2019;2:33:42 PM;Default;2825;ANNE2;0.626;min;188.740;hPa;28.220;deg;14,176;µV;19.000;°C;
1/14/2019;2:33:43 PM;Default;2825;ANNE2;0.643;min;189.050;hPa;28.200;deg;14,178;µV;19.000;°C;
1/14/2019;2:33:44 PM;Default;2825;ANNE2;0.660;min;188.630;hPa;28.220;deg;14,288;µV;19.000;°C;
1/14/2019;2:33:45 PM;Default;2825;ANNE2;0.677;min;188.820;hPa;28.210;deg;14,135;µV;19.000;°C;
1/14/2019;2:33:46 PM;Default;2825;ANNE2;0.694;min;189.070;hPa;28.200;deg;14,347;µV;19.000;°C;
1/14/2019;2:33:47 PM;Default;2825;ANNE2;0.710;min;189.210;hPa;28.190;deg;14,240;µV;19.000;°C;
1/14/2019;2:33:49 PM;Default;2825;ANNE2;0.727;min;188.090;hPa;28.250;deg;14,670;µV;19.000;°C;
1/14/2019;2:33:50 PM;Default;2825;ANNE2;0.744;min;187.660;hPa;28.280;deg;14,746;µV;19.000;°C;
1/14/2019;2:33:51 PM;Default;2825;ANNE2;0.761;min;182.460;hPa;28.580;deg;15,027;µV;19.000;°C;
1/14/2019;2:33:52 PM;Default;2825;ANNE2;0.777;min;195.720;hPa;27.820;deg;14,619;µV;19.000;°C;
1/14/2019;2:33:53 PM;Default;2825;ANNE2;0.794;min;231.560;hPa;26.050;deg;13,322;µV;19.000;°C;
1/14/2019;2:33:54 PM;Default;2825;ANNE2;0.811;min;267.340;hPa;24.600;deg;12,155;µV;19.000;°C;
1/14/2019;2:33:55 PM;Default;2825;ANNE2;0.828;min;301.530;hPa;23.420;deg;11,281;µV;19.000;°C;
1/14/2019;2:33:56 PM;Default;2825;ANNE2;0.845;min;332.680;hPa;22.480;deg;10,586;µV;19.000;°C;
1/14/2019;2:33:57 PM;Default;2825;ANNE2;0.862;min;360.780;hPa;21.720;deg;10,030;µV;19.000;°C;
1/14/2019;2:33:58 PM;Default;2825;ANNE2;0.879;min;386.580;hPa;21.080;deg;9,596;µV;19.000;°C;
1/14/2019;2:33:59 PM;Default;2825;ANNE2;0.895;min;407.860;hPa;20.600;deg;9,218;µV;19.000;°C;
1/14/2019;2:34:00 PM;Default;2825;ANNE2;0.912;min;428.910;hPa;20.150;deg;8,911;µV;19.000;°C;
1/14/2019;2:34:01 PM;Default;2825;ANNE2;0.929;min;446.820;hPa;19.790;deg;8,639;µV;19.000;°C;
1/14/2019;2:34:02 PM;Default;2825;ANNE2;0.946;min;462.780;hPa;19.480;deg;8,414;µV;19.000;°C;
1/14/2019;2:34:03 PM;Default;2825;ANNE2;0.963;min;476.630;hPa;19.220;deg;8,232;µV;19.000;°C;
1/14/2019;2:34:04 PM;Default;2825;ANNE2;0.980;min;491.390;hPa;18.960;deg;8,064;µV;19.000;°C;
1/14/2019;2:34:05 PM;Default;2825;ANNE2;0.997;min;503.650;hPa;18.750;deg;7,923;µV;19.000;°C;
