Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/14/2019;3:31:48 PM;Default;2825;ANNE2;0.004;min;190.880;hPa;28.090;deg;14,981;µV;19.000;°C;
1/14/2019;3:31:49 PM;Default;2825;ANNE2;0.021;min;190.600;hPa;28.110;deg;15,070;µV;19.000;°C;
1/14/2019;3:31:50 PM;Default;2825;ANNE2;0.038;min;190.600;hPa;28.110;deg;14,910;µV;19.000;°C;
1/14/2019;3:31:51 PM;Default;2825;ANNE2;0.055;min;190.970;hPa;28.090;deg;15,396;µV;19.000;°C;
1/14/2019;3:31:52 PM;Default;2825;ANNE2;0.071;min;190.790;hPa;28.100;deg;14,726;µV;19.000;°C;
1/14/2019;3:31:53 PM;Default;2825;ANNE2;0.088;min;190.280;hPa;28.130;deg;14,944;µV;19.000;°C;
1/14/2019;3:31:54 PM;Default;2825;ANNE2;0.105;min;190.000;hPa;28.140;deg;14,839;µV;19.000;°C;
1/14/2019;3:31:55 PM;Default;2825;ANNE2;0.122;min;190.350;hPa;28.120;deg;14,889;µV;19.000;°C;
1/14/2019;3:31:56 PM;Default;2825;ANNE2;0.139;min;190.410;hPa;28.120;deg;14,913;µV;19.000;°C;
1/14/2019;3:31:57 PM;Default;2825;ANNE2;0.156;min;190.000;hPa;28.140;deg;15,234;µV;19.000;°C;
1/14/2019;3:31:58 PM;Default;2825;ANNE2;0.173;min;189.140;hPa;28.190;deg;15,826;µV;19.000;°C;
1/14/2019;3:31:59 PM;Default;2825;ANNE2;0.189;min;187.350;hPa;28.300;deg;15,811;µV;19.000;°C;
1/14/2019;3:32:00 PM;Default;2825;ANNE2;0.206;min;203.950;hPa;27.380;deg;14,776;µV;19.000;°C;
1/14/2019;3:32:01 PM;Default;2825;ANNE2;0.223;min;225.390;hPa;26.330;deg;13,855;µV;19.000;°C;
1/14/2019;3:32:02 PM;Default;2825;ANNE2;0.240;min;245.600;hPa;25.450;deg;13,149;µV;19.000;°C;
1/14/2019;3:32:03 PM;Default;2825;ANNE2;0.257;min;265.080;hPa;24.680;deg;12,559;µV;19.000;°C;
1/14/2019;3:32:04 PM;Default;2825;ANNE2;0.274;min;283.500;hPa;24.020;deg;12,038;µV;19.000;°C;
1/14/2019;3:32:05 PM;Default;2825;ANNE2;0.290;min;300.480;hPa;23.450;deg;11,611;µV;19.000;°C;
1/14/2019;3:32:06 PM;Default;2825;ANNE2;0.307;min;316.060;hPa;22.960;deg;11,234;µV;19.000;°C;
1/14/2019;3:32:07 PM;Default;2825;ANNE2;0.324;min;330.510;hPa;22.540;deg;10,902;µV;19.000;°C;
1/14/2019;3:32:08 PM;Default;2825;ANNE2;0.341;min;343.140;hPa;22.180;deg;10,622;µV;19.000;°C;
1/14/2019;3:32:09 PM;Default;2825;ANNE2;0.358;min;357.230;hPa;21.810;deg;10,366;µV;19.000;°C;
1/14/2019;3:32:10 PM;Default;2825;ANNE2;0.375;min;367.410;hPa;21.550;deg;10,144;µV;19.000;°C;
1/14/2019;3:32:11 PM;Default;2825;ANNE2;0.391;min;378.130;hPa;21.290;deg;9,947;µV;19.000;°C;
1/14/2019;3:32:12 PM;Default;2825;ANNE2;0.408;min;388.080;hPa;21.050;deg;9,770;µV;19.000;°C;
1/14/2019;3:32:13 PM;Default;2825;ANNE2;0.425;min;397.290;hPa;20.840;deg;9,616;µV;19.000;°C;
1/14/2019;3:32:14 PM;Default;2825;ANNE2;0.442;min;406.740;hPa;20.620;deg;9,472;µV;19.000;°C;
1/14/2019;3:32:15 PM;Default;2825;ANNE2;0.459;min;413.450;hPa;20.480;deg;9,344;µV;19.000;°C;
1/14/2019;3:32:16 PM;Default;2825;ANNE2;0.475;min;419.780;hPa;20.340;deg;9,239;µV;19.000;°C;
1/14/2019;3:32:17 PM;Default;2825;ANNE2;0.492;min;425.700;hPa;20.220;deg;9,131;µV;19.000;°C;
1/14/2019;3:32:18 PM;Default;2825;ANNE2;0.509;min;433.430;hPa;20.060;deg;9,039;µV;19.000;°C;
1/14/2019;3:32:19 PM;Default;2825;ANNE2;0.526;min;438.500;hPa;19.950;deg;8,958;µV;19.000;°C;
1/14/2019;3:32:20 PM;Default;2825;ANNE2;0.543;min;442.190;hPa;19.880;deg;8,883;µV;19.000;°C;
1/14/2019;3:32:21 PM;Default;2825;ANNE2;0.559;min;448.660;hPa;19.750;deg;8,818;µV;19.000;°C;
1/14/2019;3:32:22 PM;Default;2825;ANNE2;0.576;min;452.500;hPa;19.680;deg;8,756;µV;19.000;°C;
1/14/2019;3:32:23 PM;Default;2825;ANNE2;0.593;min;455.760;hPa;19.610;deg;8,697;µV;19.000;°C;
1/14/2019;3:32:24 PM;Default;2825;ANNE2;0.610;min;459.680;hPa;19.540;deg;8,649;µV;19.000;°C;
1/14/2019;3:32:25 PM;Default;2825;ANNE2;0.627;min;462.050;hPa;19.490;deg;8,597;µV;19.000;°C;
1/14/2019;3:32:26 PM;Default;2825;ANNE2;0.644;min;465.020;hPa;19.440;deg;8,557;µV;19.000;°C;
1/14/2019;3:32:27 PM;Default;2825;ANNE2;0.661;min;467.960;hPa;19.380;deg;8,521;µV;19.000;°C;
