Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/14/2019;3:58:07 PM;Default;2825;ANNE2;0.005;min;190.510;hPa;28.120;deg;14,260;µV;19.000;°C;
1/14/2019;3:58:08 PM;Default;2825;ANNE2;0.021;min;190.070;hPa;28.140;deg;14,395;µV;19.000;°C;
1/14/2019;3:58:09 PM;Default;2825;ANNE2;0.038;min;189.440;hPa;28.180;deg;14,177;µV;19.000;°C;
1/14/2019;3:58:10 PM;Default;2825;ANNE2;0.054;min;190.300;hPa;28.130;deg;14,474;µV;19.000;°C;
1/14/2019;3:58:11 PM;Default;2825;ANNE2;0.071;min;190.000;hPa;28.140;deg;14,425;µV;19.000;°C;
1/14/2019;3:58:12 PM;Default;2825;ANNE2;0.088;min;189.600;hPa;28.170;deg;14,327;µV;19.000;°C;
1/14/2019;3:58:13 PM;Default;2825;ANNE2;0.105;min;189.980;hPa;28.140;deg;14,731;µV;19.000;°C;
1/14/2019;3:58:14 PM;Default;2825;ANNE2;0.121;min;189.160;hPa;28.190;deg;14,816;µV;19.000;°C;
1/14/2019;3:58:15 PM;Default;2825;ANNE2;0.138;min;189.810;hPa;28.160;deg;14,655;µV;19.000;°C;
1/14/2019;3:58:16 PM;Default;2825;ANNE2;0.155;min;189.390;hPa;28.180;deg;14,842;µV;19.000;°C;
1/14/2019;3:58:17 PM;Default;2825;ANNE2;0.172;min;185.810;hPa;28.390;deg;14,988;µV;19.000;°C;
1/14/2019;3:58:18 PM;Default;2825;ANNE2;0.189;min;185.180;hPa;28.420;deg;15,524;µV;19.000;°C;
1/14/2019;3:58:19 PM;Default;2825;ANNE2;0.205;min;216.830;hPa;26.740;deg;14,315;µV;19.000;°C;
1/14/2019;3:58:20 PM;Default;2825;ANNE2;0.222;min;259.730;hPa;24.880;deg;12,667;µV;19.000;°C;
1/14/2019;3:58:21 PM;Default;2825;ANNE2;0.239;min;304.240;hPa;23.330;deg;11,528;µV;19.000;°C;
1/14/2019;3:58:22 PM;Default;2825;ANNE2;0.255;min;344.210;hPa;22.160;deg;10,563;µV;19.000;°C;
1/14/2019;3:58:23 PM;Default;2825;ANNE2;0.272;min;382.920;hPa;21.170;deg;9,841;µV;19.000;°C;
1/14/2019;3:58:24 PM;Default;2825;ANNE2;0.289;min;418.090;hPa;20.380;deg;9,259;µV;19.000;°C;
1/14/2019;3:58:25 PM;Default;2825;ANNE2;0.306;min;449.880;hPa;19.730;deg;8,766;µV;19.000;°C;
