Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
4/3/2019;4:01:00 PM;Default;1306;SENSOR1;0.006;min;189.810;hPa;27.730;deg;26,596;µV;21.000;°C;
4/3/2019;4:01:01 PM;Default;1306;SENSOR1;0.023;min;189.920;hPa;27.720;deg;26,575;µV;21.000;°C;
4/3/2019;4:01:02 PM;Default;1306;SENSOR1;0.040;min;189.740;hPa;27.730;deg;26,503;µV;21.000;°C;
4/3/2019;4:01:03 PM;Default;1306;SENSOR1;0.057;min;189.630;hPa;27.740;deg;26,490;µV;21.000;°C;
4/3/2019;4:01:04 PM;Default;1306;SENSOR1;0.074;min;189.440;hPa;27.750;deg;26,507;µV;21.000;°C;
4/3/2019;4:01:05 PM;Default;1306;SENSOR1;0.090;min;189.250;hPa;27.760;deg;26,541;µV;21.000;°C;
4/3/2019;4:01:06 PM;Default;1306;SENSOR1;0.107;min;189.690;hPa;27.740;deg;26,564;µV;21.000;°C;
4/3/2019;4:01:07 PM;Default;1306;SENSOR1;0.124;min;189.480;hPa;27.750;deg;25,337;µV;21.000;°C;
4/3/2019;4:01:08 PM;Default;1306;SENSOR1;0.141;min;186.930;hPa;27.890;deg;25,905;µV;21.000;°C;
4/3/2019;4:01:09 PM;Default;1306;SENSOR1;0.158;min;184.950;hPa;28.010;deg;26,203;µV;21.000;°C;
4/3/2019;4:01:10 PM;Default;1306;SENSOR1;0.175;min;190.860;hPa;27.670;deg;25,939;µV;21.000;°C;
4/3/2019;4:01:11 PM;Default;1306;SENSOR1;0.192;min;205.360;hPa;26.890;deg;24,145;µV;21.000;°C;
4/3/2019;4:01:12 PM;Default;1306;SENSOR1;0.209;min;225.330;hPa;25.930;deg;22,839;µV;21.000;°C;
4/3/2019;4:01:13 PM;Default;1306;SENSOR1;0.225;min;249.980;hPa;24.870;deg;21,492;µV;21.000;°C;
4/3/2019;4:01:14 PM;Default;1306;SENSOR1;0.242;min;274.270;hPa;23.960;deg;20,282;µV;21.000;°C;
4/3/2019;4:01:15 PM;Default;1306;SENSOR1;0.259;min;298.220;hPa;23.140;deg;19,276;µV;21.000;°C;
4/3/2019;4:01:16 PM;Default;1306;SENSOR1;0.276;min;318.100;hPa;22.530;deg;18,424;µV;21.000;°C;
4/3/2019;4:01:17 PM;Default;1306;SENSOR1;0.293;min;338.460;hPa;21.950;deg;17,705;µV;21.000;°C;
4/3/2019;4:01:18 PM;Default;1306;SENSOR1;0.309;min;356.120;hPa;21.480;deg;17,093;µV;21.000;°C;
4/3/2019;4:01:19 PM;Default;1306;SENSOR1;0.326;min;373.420;hPa;21.050;deg;16,575;µV;21.000;°C;
4/3/2019;4:01:20 PM;Default;1306;SENSOR1;0.343;min;387.990;hPa;20.700;deg;16,118;µV;21.000;°C;
4/3/2019;4:01:21 PM;Default;1306;SENSOR1;0.360;min;402.050;hPa;20.380;deg;15,707;µV;21.000;°C;
4/3/2019;4:01:22 PM;Default;1306;SENSOR1;0.376;min;413.700;hPa;20.130;deg;15,365;µV;21.000;°C;
4/3/2019;4:01:23 PM;Default;1306;SENSOR1;0.393;min;425.470;hPa;19.880;deg;15,056;µV;21.000;°C;
4/3/2019;4:01:24 PM;Default;1306;SENSOR1;0.410;min;436.010;hPa;19.660;deg;14,788;µV;21.000;°C;
4/3/2019;4:01:25 PM;Default;1306;SENSOR1;0.427;min;445.290;hPa;19.480;deg;14,557;µV;21.000;°C;
4/3/2019;4:01:26 PM;Default;1306;SENSOR1;0.443;min;453.290;hPa;19.320;deg;14,350;µV;21.000;°C;
4/3/2019;4:01:27 PM;Default;1306;SENSOR1;0.461;min;463.390;hPa;19.130;deg;14,151;µV;21.000;°C;
4/3/2019;4:01:28 PM;Default;1306;SENSOR1;0.477;min;468.630;hPa;19.040;deg;13,977;µV;21.000;°C;
4/3/2019;4:01:29 PM;Default;1306;SENSOR1;0.494;min;474.990;hPa;18.920;deg;13,835;µV;21.000;°C;
4/3/2019;4:01:30 PM;Default;1306;SENSOR1;0.511;min;482.240;hPa;18.790;deg;13,699;µV;21.000;°C;
4/3/2019;4:01:31 PM;Default;1306;SENSOR1;0.528;min;487.790;hPa;18.690;deg;13,578;µV;21.000;°C;
4/3/2019;4:01:32 PM;Default;1306;SENSOR1;0.545;min;492.610;hPa;18.610;deg;13,477;µV;21.000;°C;
4/3/2019;4:01:33 PM;Default;1306;SENSOR1;0.562;min;496.440;hPa;18.540;deg;13,372;µV;21.000;°C;
4/3/2019;4:01:34 PM;Default;1306;SENSOR1;0.578;min;500.660;hPa;18.470;deg;13,289;µV;21.000;°C;
4/3/2019;4:01:35 PM;Default;1306;SENSOR1;0.595;min;504.100;hPa;18.410;deg;13,206;µV;21.000;°C;
4/3/2019;4:01:36 PM;Default;1306;SENSOR1;0.612;min;508.160;hPa;18.340;deg;13,142;µV;21.000;°C;
4/3/2019;4:01:37 PM;Default;1306;SENSOR1;0.629;min;510.140;hPa;18.310;deg;13,070;µV;21.000;°C;
4/3/2019;4:01:38 PM;Default;1306;SENSOR1;0.645;min;514.020;hPa;18.250;deg;13,019;µV;21.000;°C;
4/3/2019;4:01:39 PM;Default;1306;SENSOR1;0.662;min;516.330;hPa;18.210;deg;12,965;µV;21.000;°C;
4/3/2019;4:01:40 PM;Default;1306;SENSOR1;0.679;min;519.400;hPa;18.160;deg;12,915;µV;21.000;°C;
4/3/2019;4:01:41 PM;Default;1306;SENSOR1;0.696;min;521.190;hPa;18.130;deg;12,871;µV;21.000;°C;
4/3/2019;4:01:42 PM;Default;1306;SENSOR1;0.713;min;523.180;hPa;18.100;deg;12,832;µV;21.000;°C;
4/3/2019;4:01:43 PM;Default;1306;SENSOR1;0.730;min;523.670;hPa;18.090;deg;12,794;µV;21.000;°C;
4/3/2019;4:01:44 PM;Default;1306;SENSOR1;0.746;min;527.360;hPa;18.030;deg;12,765;µV;21.000;°C;
4/3/2019;4:01:45 PM;Default;1306;SENSOR1;0.763;min;527.110;hPa;18.040;deg;12,730;µV;21.000;°C;
4/3/2019;4:01:46 PM;Default;1306;SENSOR1;0.780;min;529.120;hPa;18.000;deg;12,704;µV;21.000;°C;
4/3/2019;4:01:47 PM;Default;1306;SENSOR1;0.797;min;530.000;hPa;17.990;deg;12,679;µV;21.000;°C;
4/3/2019;4:01:48 PM;Default;1306;SENSOR1;0.814;min;531.710;hPa;17.960;deg;12,658;µV;21.000;°C;
4/3/2019;4:01:49 PM;Default;1306;SENSOR1;0.831;min;533.620;hPa;17.930;deg;12,639;µV;21.000;°C;
4/3/2019;4:01:50 PM;Default;1306;SENSOR1;0.847;min;532.410;hPa;17.950;deg;12,614;µV;21.000;°C;
4/3/2019;4:01:51 PM;Default;1306;SENSOR1;0.864;min;535.090;hPa;17.910;deg;12,601;µV;21.000;°C;
4/3/2019;4:01:52 PM;Default;1306;SENSOR1;0.881;min;536.040;hPa;17.890;deg;12,587;µV;21.000;°C;
4/3/2019;4:01:53 PM;Default;1306;SENSOR1;0.898;min;535.720;hPa;17.900;deg;12,574;µV;21.000;°C;
4/3/2019;4:01:54 PM;Default;1306;SENSOR1;0.915;min;535.020;hPa;17.910;deg;12,555;µV;21.000;°C;
4/3/2019;4:01:55 PM;Default;1306;SENSOR1;0.931;min;536.040;hPa;17.890;deg;12,545;µV;21.000;°C;
4/3/2019;4:01:56 PM;Default;1306;SENSOR1;0.948;min;535.470;hPa;17.900;deg;12,532;µV;21.000;°C;
4/3/2019;4:01:57 PM;Default;1306;SENSOR1;0.965;min;538.550;hPa;17.860;deg;12,522;µV;21.000;°C;
4/3/2019;4:01:58 PM;Default;1306;SENSOR1;0.982;min;539.710;hPa;17.840;deg;12,517;µV;21.000;°C;
4/3/2019;4:01:59 PM;Default;1306;SENSOR1;0.999;min;538.420;hPa;17.860;deg;12,505;µV;21.000;°C;
4/3/2019;4:02:00 PM;Default;1306;SENSOR1;1.016;min;538.290;hPa;17.860;deg;12,498;µV;21.000;°C;
4/3/2019;4:02:01 PM;Default;1306;SENSOR1;1.032;min;539.390;hPa;17.840;deg;12,493;µV;21.000;°C;
4/3/2019;4:02:02 PM;Default;1306;SENSOR1;1.049;min;539.520;hPa;17.840;deg;12,484;µV;21.000;°C;
4/3/2019;4:02:03 PM;Default;1306;SENSOR1;1.066;min;538.930;hPa;17.850;deg;12,473;µV;21.000;°C;
4/3/2019;4:02:04 PM;Default;1306;SENSOR1;1.083;min;540.100;hPa;17.830;deg;12,469;µV;21.000;°C;
4/3/2019;4:02:05 PM;Default;1306;SENSOR1;1.100;min;539.450;hPa;17.840;deg;12,466;µV;21.000;°C;
4/3/2019;4:02:06 PM;Default;1306;SENSOR1;1.117;min;540.160;hPa;17.830;deg;12,464;µV;21.000;°C;
4/3/2019;4:02:07 PM;Default;1306;SENSOR1;1.134;min;540.160;hPa;17.830;deg;12,456;µV;21.000;°C;
4/3/2019;4:02:08 PM;Default;1306;SENSOR1;1.150;min;541.330;hPa;17.810;deg;12,448;µV;21.000;°C;
4/3/2019;4:02:09 PM;Default;1306;SENSOR1;1.167;min;540.350;hPa;17.830;deg;12,448;µV;21.000;°C;
4/3/2019;4:02:10 PM;Default;1306;SENSOR1;1.184;min;540.550;hPa;17.820;deg;12,439;µV;21.000;°C;
4/3/2019;4:02:11 PM;Default;1306;SENSOR1;1.201;min;540.550;hPa;17.820;deg;12,437;µV;21.000;°C;
4/3/2019;4:02:12 PM;Default;1306;SENSOR1;1.217;min;541.130;hPa;17.820;deg;12,431;µV;21.000;°C;
4/3/2019;4:02:13 PM;Default;1306;SENSOR1;1.234;min;540.290;hPa;17.830;deg;12,432;µV;21.000;°C;
4/3/2019;4:02:14 PM;Default;1306;SENSOR1;1.251;min;540.810;hPa;17.820;deg;12,432;µV;21.000;°C;
