14/05/2019;MAP (mmHg);Flow (mL/min);Resistance;Temperature (ºC)
11:02;84,2;1;64,153;21,9
11:07;75,6;1;56,711;23,1
11:12;95,2;1;67,713;24,4
11:17;70,3;1;52,068;25,1
11:22;90,7;1;76,627;25,4
11:27;72,7;1;67,835;26,2
11:32;81,4;1;50,275;27,1
11:37;103,9;1;70,941;28,2
11:42;79,1;1;57,944;29,2
11:47;88,3;1;66,643;30,1
11:52;81,8;1;67,220;30,8
11:57;73,9;1;67,806;31,3
12:02;72,7;1;50,644;31,8
12:07;82,4;1;64,175;32,2
12:12;82,1;1;53,941;32,6
12:17;85,2;1;67,841;32,8
12:22;93,0;1;65,942;33,1
12:27;84,6;1;75,275;33,6
12:32;72,2;1;48,707;36,0
12:37;82,7;1;61,410;36,7
12:42;81,4;1;58,590;37,0
12:47;84,5;1;65,756;37,2
12:52;79,1;1;64,279;37,3
12:57;76,8;1;57,735;37,4
13:02;80,1;1;65,671;37,4
13:07;75,7;1;60,660;37,4
13:12;82,1;1;55,097;37,3
13:17;79,1;1;57,393;37,2
13:22;86,5;1;73,060;37,1
13:27;88,9;1;56,957;37,1
13:32;84,8;1;62,221;37,1
13:37;82,9;1;60,124;37,1
13:42;92,3;1;69,957;37,1
13:47;99,7;1;71,183;37,1
13:52;76,8;1;68,943;37,1
13:57;85,4;1;51,379;37,1
14:02;94,4;1;74,824;37,1
14:07;86,4;1;70,827;37,1
14:12;87,2;1;66,640;37,1
14:17;95,3;1;65,091;37,2
14:22;78,1;1;59,474;37,2
14:27;82,9;1;68,213;37,1
14:32;92,8;1;62,480;37,0
14:37;98,4;1;56,592;37,0
14:42;85,4;1;56,366;37,1
14:47;92,9;1;74,883;37,2
14:52;83,7;1;63,135;37,2
14:57;87,5;1;70,966;37,2
15:02;91,8;1;54,103;37,2
15:07;77,1;1;47,069;37,2
15:12;90,5;1;77,269;37,2
15:17;84,2;1;63,200;37,2
15:22;87,0;1;65,988;37,2
15:27;97,3;1;61,452;37,2
15:32;92,5;1;64,775;37,2
15:37;102,6;1;69,788;37,2
15:42;80,6;1;56,618;37,2
15:47;90,0;1;67,728;37,2
15:52;87,6;1;53,693;37,2
15:57;92,7;1;65,531;37,2
16:02;79,4;1;57,931;37,2
16:07;88,3;1;62,404;37,2
16:12;85,1;1;61,981;37,2
16:17;94,3;1;66,924;37,2
16:22;77,7;1;70,353;37,2
16:27;82,0;1;57,131;37,2
16:32;77,6;1;64,288;37,2
16:37;72,5;1;59,084;37,2
16:42;93,8;1;68,245;37,2
16:47;84,5;1;75,964;37,2
16:52;97,3;1;57,425;37,2
16:57;93,7;1;71,016;37,2
17:02;93,7;1;61,864;37,2
17:07;80,3;1;68,558;37,0
17:12;71,4;1;46,966;35,2
17:17;83,3;1;71,954;34,0
17:22;84,0;1;56,080;31,3
17:27;89,1;1;72,787;27,3
17:32;99,6;1;63,960;23,8
17:37;93,2;1;55,538;22,5
17:42;83,9;1;54,365;22,2
17:47;92,9;1;64,947;22,1
17:52;77,8;1;43,012;22,1
17:57;94,7;1;66,935;22,1
18:02;84,6;1;59,069;22,2
18:07;79,3;1;62,965;22,2
18:12;74,6;1;65,653;22,3
18:17;94,5;1;58,523;22,3
18:22;86,9;1;64,352;22,4
18:27;86,6;1;67,572;22,5
18:32;84,0;1;71,355;22,6
18:37;93,1;1;60,992;22,7
18:42;76,1;1;64,731;22,7
18:47;82,4;1;68,195;22,8
18:52;89,1;1;58,406;22,9
18:57;79,3;1;55,858;22,9
19:02;96,6;1;54,885;23,0
19:07;80,6;1;65,717;23,0
19:12;71,1;1;56,086;23,1
19:17;78,8;1;63,420;23,1
19:22;83,0;1;66,019;23,2
19:27;74,2;1;59,658;23,2
19:32;84,1;1;69,399;23,3
19:37;89,0;1;72,154;23,3
19:42;79,7;1;47,928;23,4
19:47;87,7;1;53,621;23,4
19:52;70,3;1;53,391;23,4
19:57;92,5;1;64,229;23,5
20:02;82,2;1;58,961;23,5
20:07;72,3;1;51,626;23,5
20:12;91,9;1;63,665;23,6
20:17;88,6;1;52,182;23,6
20:22;82,4;1;63,146;23,6
20:27;70,1;1;49,889;23,7
20:32;81,9;1;70,631;23,7
20:37;95,1;1;65,047;23,7
20:42;72,1;1;63,919;23,7
20:47;101,4;1;69,786;23,8
20:52;90,0;1;67,258;23,8
20:57;81,4;1;68,602;23,8
21:02;83,2;1;79,420;23,8
