Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/10/2019;12:38:50 PM;Default;1306;SENSOR1;0.004;min;725.850;hPa;15.570;deg;26,181;µV;20.000;°C;
1/10/2019;12:38:51 PM;Default;1306;SENSOR1;0.021;min;725.300;hPa;15.570;deg;26,172;µV;20.000;°C;
1/10/2019;12:38:52 PM;Default;1306;SENSOR1;0.038;min;725.580;hPa;15.570;deg;26,167;µV;20.000;°C;
1/10/2019;12:38:53 PM;Default;1306;SENSOR1;0.055;min;726.680;hPa;15.560;deg;26,168;µV;20.000;°C;
1/10/2019;12:38:54 PM;Default;1306;SENSOR1;0.072;min;726.310;hPa;15.560;deg;26,159;µV;20.000;°C;
1/10/2019;12:38:55 PM;Default;1306;SENSOR1;0.088;min;726.870;hPa;15.560;deg;26,157;µV;20.000;°C;
1/10/2019;12:38:56 PM;Default;1306;SENSOR1;0.105;min;725.390;hPa;15.570;deg;26,145;µV;20.000;°C;
1/10/2019;12:38:57 PM;Default;1306;SENSOR1;0.122;min;726.500;hPa;15.560;deg;26,149;µV;20.000;°C;
1/10/2019;12:38:58 PM;Default;1306;SENSOR1;0.138;min;726.130;hPa;15.560;deg;26,139;µV;20.000;°C;
1/10/2019;12:38:59 PM;Default;1306;SENSOR1;0.155;min;726.040;hPa;15.560;deg;26,132;µV;20.000;°C;
1/10/2019;12:39:00 PM;Default;1306;SENSOR1;0.172;min;726.870;hPa;15.560;deg;26,135;µV;20.000;°C;
1/10/2019;12:39:01 PM;Default;1306;SENSOR1;0.189;min;726.040;hPa;15.560;deg;26,131;µV;20.000;°C;
1/10/2019;12:39:02 PM;Default;1306;SENSOR1;0.206;min;726.680;hPa;15.560;deg;26,130;µV;20.000;°C;
1/10/2019;12:39:03 PM;Default;1306;SENSOR1;0.223;min;727.510;hPa;15.550;deg;26,125;µV;20.000;°C;
1/10/2019;12:39:04 PM;Default;1306;SENSOR1;0.239;min;726.770;hPa;15.560;deg;26,118;µV;20.000;°C;
1/10/2019;12:39:05 PM;Default;1306;SENSOR1;0.256;min;727.510;hPa;15.550;deg;26,113;µV;20.000;°C;
1/10/2019;12:39:06 PM;Default;1306;SENSOR1;0.273;min;726.130;hPa;15.560;deg;26,109;µV;20.000;°C;
1/10/2019;12:39:07 PM;Default;1306;SENSOR1;0.290;min;727.330;hPa;15.550;deg;26,106;µV;20.000;°C;
1/10/2019;12:39:08 PM;Default;1306;SENSOR1;0.307;min;729.540;hPa;15.530;deg;26,101;µV;20.000;°C;
1/10/2019;12:39:09 PM;Default;1306;SENSOR1;0.323;min;729.730;hPa;15.520;deg;26,096;µV;20.000;°C;
1/10/2019;12:39:10 PM;Default;1306;SENSOR1;0.340;min;727.790;hPa;15.540;deg;26,099;µV;20.000;°C;
1/10/2019;12:39:11 PM;Default;1306;SENSOR1;0.357;min;727.970;hPa;15.540;deg;26,072;µV;20.000;°C;
1/10/2019;12:39:12 PM;Default;1306;SENSOR1;0.374;min;728.530;hPa;15.540;deg;26,028;µV;20.000;°C;
1/10/2019;12:39:13 PM;Default;1306;SENSOR1;0.390;min;727.970;hPa;15.540;deg;25,977;µV;20.000;°C;
1/10/2019;12:39:14 PM;Default;1306;SENSOR1;0.407;min;728.900;hPa;15.530;deg;26,321;µV;20.000;°C;
1/10/2019;12:39:15 PM;Default;1306;SENSOR1;0.424;min;33,835.260;hPa;0.720;deg;129;µV;20.000;°C;
1/10/2019;12:39:16 PM;Default;1306;SENSOR1;0.441;min;23,099.740;hPa;1.050;deg;133;µV;20.000;°C;
1/10/2019;12:39:17 PM;Default;1306;SENSOR1;0.458;min;19.930;hPa;51.820;deg;901;µV;20.000;°C;
1/10/2019;12:39:18 PM;Default;1306;SENSOR1;0.474;min;6.530;hPa;57.300;deg;1,997;µV;20.000;°C;
1/10/2019;12:39:19 PM;Default;1306;SENSOR1;0.491;min;-0.080;hPa;60.560;deg;130,758;µV;20.000;°C;
1/10/2019;12:39:20 PM;Default;1306;SENSOR1;0.507;min;-0.060;hPa;60.540;deg;130,854;µV;20.000;°C;
1/10/2019;12:39:21 PM;Default;1306;SENSOR1;0.524;min;-0.110;hPa;60.570;deg;130,748;µV;20.000;°C;
1/10/2019;12:39:22 PM;Default;1306;SENSOR1;0.541;min;-0.130;hPa;60.580;deg;130,703;µV;20.000;°C;
1/10/2019;12:39:23 PM;Default;1306;SENSOR1;0.558;min;-0.120;hPa;60.580;deg;130,711;µV;20.000;°C;
1/10/2019;12:39:24 PM;Default;1306;SENSOR1;0.575;min;-0.130;hPa;60.580;deg;130,705;µV;20.000;°C;
1/10/2019;12:39:25 PM;Default;1306;SENSOR1;0.592;min;-0.150;hPa;60.590;deg;130,705;µV;20.000;°C;
1/10/2019;12:39:26 PM;Default;1306;SENSOR1;0.608;min;-0.150;hPa;60.600;deg;130,710;µV;20.000;°C;
1/10/2019;12:39:27 PM;Default;1306;SENSOR1;0.625;min;-0.140;hPa;60.590;deg;130,713;µV;20.000;°C;
1/10/2019;12:39:28 PM;Default;1306;SENSOR1;0.642;min;-0.140;hPa;60.590;deg;130,710;µV;20.000;°C;
1/10/2019;12:39:30 PM;Default;1306;SENSOR1;0.675;min;-0.150;hPa;60.590;deg;130,712;µV;20.000;°C;
1/10/2019;12:39:31 PM;Default;1306;SENSOR1;0.693;min;-0.160;hPa;60.600;deg;130,712;µV;20.000;°C;
1/10/2019;12:39:31 PM;Default;1306;SENSOR1;0.702;min;-0.150;hPa;60.600;deg;130,712;µV;20.000;°C;
1/10/2019;12:39:32 PM;Default;1306;SENSOR1;0.710;min;-0.150;hPa;60.600;deg;130,716;µV;20.000;°C;
1/10/2019;12:39:33 PM;Default;1306;SENSOR1;0.727;min;-0.140;hPa;60.590;deg;130,719;µV;20.000;°C;
1/10/2019;12:39:34 PM;Default;1306;SENSOR1;0.744;min;-0.150;hPa;60.590;deg;130,716;µV;20.000;°C;
1/10/2019;12:39:35 PM;Default;1306;SENSOR1;0.761;min;-0.140;hPa;60.590;deg;130,716;µV;20.000;°C;
1/10/2019;12:39:36 PM;Default;1306;SENSOR1;0.777;min;-0.140;hPa;60.590;deg;130,715;µV;20.000;°C;
1/10/2019;12:39:37 PM;Default;1306;SENSOR1;0.794;min;-0.160;hPa;60.600;deg;130,715;µV;20.000;°C;
1/10/2019;12:39:38 PM;Default;1306;SENSOR1;0.811;min;-0.150;hPa;60.600;deg;130,717;µV;20.000;°C;
1/10/2019;12:39:39 PM;Default;1306;SENSOR1;0.827;min;-0.150;hPa;60.600;deg;130,720;µV;20.000;°C;
1/10/2019;12:39:40 PM;Default;1306;SENSOR1;0.844;min;-0.150;hPa;60.600;deg;130,717;µV;20.000;°C;
1/10/2019;12:39:41 PM;Default;1306;SENSOR1;0.861;min;-0.140;hPa;60.590;deg;130,717;µV;20.000;°C;
1/10/2019;12:39:42 PM;Default;1306;SENSOR1;0.878;min;-0.150;hPa;60.590;deg;130,716;µV;20.000;°C;
1/10/2019;12:39:43 PM;Default;1306;SENSOR1;0.895;min;-0.140;hPa;60.590;deg;130,715;µV;20.000;°C;
1/10/2019;12:39:44 PM;Default;1306;SENSOR1;0.912;min;-0.150;hPa;60.590;deg;130,717;µV;20.000;°C;
1/10/2019;12:39:45 PM;Default;1306;SENSOR1;0.928;min;-0.160;hPa;60.600;deg;130,722;µV;20.000;°C;
1/10/2019;12:39:46 PM;Default;1306;SENSOR1;0.945;min;-0.160;hPa;60.600;deg;130,719;µV;20.000;°C;
1/10/2019;12:39:47 PM;Default;1306;SENSOR1;0.962;min;-0.150;hPa;60.590;deg;130,714;µV;20.000;°C;
