Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/10/2019;12:42:03 PM;Default;1306;SENSOR1;0.004;min;17.010;hPa;52.900;deg;127,011;µV;20.000;°C;
1/10/2019;12:42:04 PM;Default;1306;SENSOR1;0.021;min;17.030;hPa;52.900;deg;127,012;µV;20.000;°C;
1/10/2019;12:42:05 PM;Default;1306;SENSOR1;0.038;min;17.040;hPa;52.890;deg;127,004;µV;20.000;°C;
1/10/2019;12:42:06 PM;Default;1306;SENSOR1;0.055;min;17.020;hPa;52.900;deg;127,004;µV;20.000;°C;
1/10/2019;12:42:07 PM;Default;1306;SENSOR1;0.071;min;17.060;hPa;52.890;deg;127,005;µV;20.000;°C;
1/10/2019;12:42:08 PM;Default;1306;SENSOR1;0.088;min;17.060;hPa;52.890;deg;126,973;µV;20.000;°C;
1/10/2019;12:42:09 PM;Default;1306;SENSOR1;0.105;min;17.050;hPa;52.890;deg;126,865;µV;20.000;°C;
1/10/2019;12:42:10 PM;Default;1306;SENSOR1;0.122;min;17.080;hPa;52.880;deg;127,292;µV;20.000;°C;
1/10/2019;12:42:11 PM;Default;1306;SENSOR1;0.139;min;17.080;hPa;52.880;deg;127,329;µV;20.000;°C;
1/10/2019;12:42:12 PM;Default;1306;SENSOR1;0.155;min;17.100;hPa;52.870;deg;127,271;µV;20.000;°C;
1/10/2019;12:42:13 PM;Default;1306;SENSOR1;0.172;min;-15,315.200;hPa;-1.760;deg;125;µV;20.000;°C;
1/10/2019;12:42:14 PM;Default;1306;SENSOR1;0.189;min;24,006.290;hPa;1.010;deg;127;µV;20.000;°C;
1/10/2019;12:42:15 PM;Default;1306;SENSOR1;0.206;min;1,356.510;hPa;10.980;deg;411;µV;20.000;°C;
1/10/2019;12:42:16 PM;Default;1306;SENSOR1;0.223;min;1,180.580;hPa;11.930;deg;507;µV;20.000;°C;
1/10/2019;12:42:17 PM;Default;1306;SENSOR1;0.239;min;741.320;hPa;15.400;deg;25,627;µV;20.000;°C;
1/10/2019;12:42:18 PM;Default;1306;SENSOR1;0.256;min;740.840;hPa;15.400;deg;25,529;µV;20.000;°C;
1/10/2019;12:42:19 PM;Default;1306;SENSOR1;0.273;min;739.710;hPa;15.420;deg;25,485;µV;20.000;°C;
1/10/2019;12:42:20 PM;Default;1306;SENSOR1;0.289;min;738.020;hPa;15.430;deg;25,791;µV;20.000;°C;
1/10/2019;12:42:21 PM;Default;1306;SENSOR1;0.306;min;740.370;hPa;15.410;deg;25,642;µV;20.000;°C;
1/10/2019;12:42:22 PM;Default;1306;SENSOR1;0.323;min;738.870;hPa;15.430;deg;25,649;µV;20.000;°C;
1/10/2019;12:42:23 PM;Default;1306;SENSOR1;0.340;min;740.280;hPa;15.410;deg;25,651;µV;20.000;°C;
1/10/2019;12:42:24 PM;Default;1306;SENSOR1;0.357;min;739.060;hPa;15.420;deg;25,654;µV;20.000;°C;
1/10/2019;12:42:25 PM;Default;1306;SENSOR1;0.374;min;738.960;hPa;15.420;deg;25,654;µV;20.000;°C;
1/10/2019;12:42:26 PM;Default;1306;SENSOR1;0.393;min;738.680;hPa;15.430;deg;25,664;µV;20.000;°C;
1/10/2019;12:42:27 PM;Default;1306;SENSOR1;0.407;min;739.430;hPa;15.420;deg;25,657;µV;20.000;°C;
1/10/2019;12:42:28 PM;Default;1306;SENSOR1;0.424;min;738.210;hPa;15.430;deg;25,666;µV;20.000;°C;
1/10/2019;12:42:29 PM;Default;1306;SENSOR1;0.441;min;738.960;hPa;15.420;deg;25,663;µV;20.000;°C;
1/10/2019;12:42:30 PM;Default;1306;SENSOR1;0.458;min;738.210;hPa;15.430;deg;25,663;µV;20.000;°C;
1/10/2019;12:42:31 PM;Default;1306;SENSOR1;0.474;min;738.770;hPa;15.430;deg;25,666;µV;20.000;°C;
