Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/10/2019;1:07:15 PM;Default;1306;SENSOR1;0.005;min;2.250;hPa;59.360;deg;130,559;µV;20.000;°C;
1/10/2019;1:07:16 PM;Default;1306;SENSOR1;0.021;min;2.250;hPa;59.360;deg;130,558;µV;20.000;°C;
1/10/2019;1:07:17 PM;Default;1306;SENSOR1;0.038;min;2.270;hPa;59.350;deg;130,563;µV;20.000;°C;
1/10/2019;1:07:18 PM;Default;1306;SENSOR1;0.055;min;2.250;hPa;59.360;deg;130,571;µV;20.000;°C;
1/10/2019;1:07:19 PM;Default;1306;SENSOR1;0.072;min;2.250;hPa;59.360;deg;130,557;µV;20.000;°C;
1/10/2019;1:07:20 PM;Default;1306;SENSOR1;0.088;min;2.260;hPa;59.360;deg;130,558;µV;20.000;°C;
1/10/2019;1:07:21 PM;Default;1306;SENSOR1;0.105;min;2.250;hPa;59.360;deg;130,561;µV;20.000;°C;
1/10/2019;1:07:22 PM;Default;1306;SENSOR1;0.122;min;2.280;hPa;59.340;deg;130,557;µV;20.000;°C;
1/10/2019;1:07:23 PM;Default;1306;SENSOR1;0.139;min;2.270;hPa;59.350;deg;130,557;µV;20.000;°C;
1/10/2019;1:07:24 PM;Default;1306;SENSOR1;0.155;min;2.270;hPa;59.350;deg;130,559;µV;20.000;°C;
1/10/2019;1:07:25 PM;Default;1306;SENSOR1;0.172;min;2.280;hPa;59.350;deg;130,554;µV;20.000;°C;
1/10/2019;1:07:26 PM;Default;1306;SENSOR1;0.189;min;2.250;hPa;59.360;deg;130,559;µV;20.000;°C;
1/10/2019;1:07:27 PM;Default;1306;SENSOR1;0.206;min;2.260;hPa;59.360;deg;130,557;µV;20.000;°C;
1/10/2019;1:07:28 PM;Default;1306;SENSOR1;0.223;min;2.280;hPa;59.340;deg;130,556;µV;20.000;°C;
1/10/2019;1:07:29 PM;Default;1306;SENSOR1;0.239;min;2.260;hPa;59.360;deg;130,550;µV;20.000;°C;
1/10/2019;1:07:30 PM;Default;1306;SENSOR1;0.256;min;2.280;hPa;59.350;deg;130,553;µV;20.000;°C;
1/10/2019;1:07:31 PM;Default;1306;SENSOR1;0.273;min;2.280;hPa;59.350;deg;130,553;µV;20.000;°C;
1/10/2019;1:07:32 PM;Default;1306;SENSOR1;0.290;min;2.280;hPa;59.340;deg;130,554;µV;20.000;°C;
1/10/2019;1:07:33 PM;Default;1306;SENSOR1;0.306;min;2.280;hPa;59.340;deg;130,551;µV;20.000;°C;
1/10/2019;1:07:34 PM;Default;1306;SENSOR1;0.323;min;2.270;hPa;59.350;deg;130,486;µV;20.000;°C;
1/10/2019;1:07:35 PM;Default;1306;SENSOR1;0.340;min;2.300;hPa;59.340;deg;130,545;µV;20.000;°C;
1/10/2019;1:07:36 PM;Default;1306;SENSOR1;0.357;min;2.300;hPa;59.340;deg;130,539;µV;20.000;°C;
1/10/2019;1:07:37 PM;Default;1306;SENSOR1;0.374;min;2.300;hPa;59.340;deg;130,543;µV;20.000;°C;
1/10/2019;1:07:38 PM;Default;1306;SENSOR1;0.391;min;2.310;hPa;59.330;deg;130,547;µV;20.000;°C;
1/10/2019;1:07:39 PM;Default;1306;SENSOR1;0.407;min;2.300;hPa;59.340;deg;130,547;µV;20.000;°C;
1/10/2019;1:07:40 PM;Default;1306;SENSOR1;0.424;min;2.330;hPa;59.320;deg;130,330;µV;20.000;°C;
1/10/2019;1:07:41 PM;Default;1306;SENSOR1;0.441;min;2.300;hPa;59.340;deg;129,635;µV;20.000;°C;
1/10/2019;1:07:42 PM;Default;1306;SENSOR1;0.457;min;2.290;hPa;59.340;deg;129,664;µV;20.000;°C;
1/10/2019;1:07:43 PM;Default;1306;SENSOR1;0.474;min;10,547.320;hPa;2.190;deg;125;µV;20.000;°C;
1/10/2019;1:07:44 PM;Default;1306;SENSOR1;0.491;min;19,368.840;hPa;1.240;deg;122;µV;20.000;°C;
1/10/2019;1:07:45 PM;Default;1306;SENSOR1;0.507;min;1,343.320;hPa;11.040;deg;516;µV;20.000;°C;
1/10/2019;1:07:46 PM;Default;1306;SENSOR1;0.524;min;773.060;hPa;15.070;deg;24,855;µV;20.000;°C;
1/10/2019;1:07:47 PM;Default;1306;SENSOR1;0.541;min;773.060;hPa;15.070;deg;24,775;µV;20.000;°C;
1/10/2019;1:07:48 PM;Default;1306;SENSOR1;0.558;min;773.360;hPa;15.070;deg;24,745;µV;20.000;°C;
1/10/2019;1:07:49 PM;Default;1306;SENSOR1;0.574;min;773.760;hPa;15.060;deg;24,751;µV;20.000;°C;
1/10/2019;1:07:50 PM;Default;1306;SENSOR1;0.591;min;773.360;hPa;15.070;deg;24,755;µV;20.000;°C;
1/10/2019;1:07:51 PM;Default;1306;SENSOR1;0.608;min;772.070;hPa;15.080;deg;24,755;µV;20.000;°C;
1/10/2019;1:07:52 PM;Default;1306;SENSOR1;0.625;min;772.570;hPa;15.080;deg;24,760;µV;20.000;°C;
1/10/2019;1:07:53 PM;Default;1306;SENSOR1;0.642;min;772.270;hPa;15.080;deg;24,761;µV;20.000;°C;
1/10/2019;1:07:54 PM;Default;1306;SENSOR1;0.660;min;773.460;hPa;15.070;deg;24,765;µV;20.000;°C;
1/10/2019;1:07:55 PM;Default;1306;SENSOR1;0.676;min;771.180;hPa;15.090;deg;24,767;µV;20.000;°C;
1/10/2019;1:07:56 PM;Default;1306;SENSOR1;0.692;min;771.570;hPa;15.090;deg;24,764;µV;20.000;°C;
1/10/2019;1:07:57 PM;Default;1306;SENSOR1;0.709;min;772.760;hPa;15.080;deg;24,765;µV;20.000;°C;
