Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/7/2019;3:40:12 PM;Default;1306;SENSOR1;0.005;min;187.410;hPa;28.050;deg;62,006;µV;20.000;°C;
1/7/2019;3:40:13 PM;Default;1306;SENSOR1;0.021;min;187.350;hPa;28.060;deg;62,004;µV;20.000;°C;
1/7/2019;3:40:14 PM;Default;1306;SENSOR1;0.038;min;187.550;hPa;28.050;deg;62,001;µV;20.000;°C;
1/7/2019;3:40:15 PM;Default;1306;SENSOR1;0.055;min;187.480;hPa;28.050;deg;61,998;µV;20.000;°C;
1/7/2019;3:40:16 PM;Default;1306;SENSOR1;0.072;min;187.560;hPa;28.040;deg;61,992;µV;20.000;°C;
1/7/2019;3:40:17 PM;Default;1306;SENSOR1;0.089;min;187.490;hPa;28.050;deg;61,992;µV;20.000;°C;
1/7/2019;3:40:18 PM;Default;1306;SENSOR1;0.105;min;187.480;hPa;28.050;deg;61,995;µV;20.000;°C;
1/7/2019;3:40:19 PM;Default;1306;SENSOR1;0.122;min;187.440;hPa;28.050;deg;61,990;µV;20.000;°C;
1/7/2019;3:40:20 PM;Default;1306;SENSOR1;0.139;min;187.530;hPa;28.050;deg;61,992;µV;20.000;°C;
1/7/2019;3:40:21 PM;Default;1306;SENSOR1;0.156;min;187.550;hPa;28.050;deg;61,989;µV;20.000;°C;
1/7/2019;3:40:22 PM;Default;1306;SENSOR1;0.172;min;187.620;hPa;28.040;deg;61,990;µV;20.000;°C;
1/7/2019;3:40:23 PM;Default;1306;SENSOR1;0.189;min;187.530;hPa;28.050;deg;61,980;µV;20.000;°C;
1/7/2019;3:40:24 PM;Default;1306;SENSOR1;0.206;min;187.550;hPa;28.050;deg;61,977;µV;20.000;°C;
1/7/2019;3:40:25 PM;Default;1306;SENSOR1;0.223;min;187.630;hPa;28.040;deg;61,976;µV;20.000;°C;
1/7/2019;3:40:26 PM;Default;1306;SENSOR1;0.240;min;187.740;hPa;28.030;deg;61,976;µV;20.000;°C;
1/7/2019;3:40:27 PM;Default;1306;SENSOR1;0.257;min;187.700;hPa;28.040;deg;61,974;µV;20.000;°C;
1/7/2019;3:40:28 PM;Default;1306;SENSOR1;0.274;min;187.530;hPa;28.050;deg;61,974;µV;20.000;°C;
1/7/2019;3:40:29 PM;Default;1306;SENSOR1;0.291;min;187.560;hPa;28.040;deg;61,972;µV;20.000;°C;
1/7/2019;3:40:30 PM;Default;1306;SENSOR1;0.307;min;187.480;hPa;28.050;deg;61,973;µV;20.000;°C;
1/7/2019;3:40:31 PM;Default;1306;SENSOR1;0.324;min;187.610;hPa;28.040;deg;61,952;µV;20.000;°C;
1/7/2019;3:40:32 PM;Default;1306;SENSOR1;0.341;min;187.740;hPa;28.030;deg;61,956;µV;20.000;°C;
1/7/2019;3:40:33 PM;Default;1306;SENSOR1;0.358;min;187.750;hPa;28.030;deg;61,953;µV;20.000;°C;
1/7/2019;3:40:34 PM;Default;1306;SENSOR1;0.374;min;187.810;hPa;28.030;deg;61,946;µV;20.000;°C;
1/7/2019;3:40:35 PM;Default;1306;SENSOR1;0.391;min;187.740;hPa;28.030;deg;61,944;µV;20.000;°C;
1/7/2019;3:40:36 PM;Default;1306;SENSOR1;0.408;min;187.860;hPa;28.030;deg;61,946;µV;20.000;°C;
1/7/2019;3:40:37 PM;Default;1306;SENSOR1;0.425;min;187.860;hPa;28.030;deg;61,931;µV;20.000;°C;
1/7/2019;3:40:38 PM;Default;1306;SENSOR1;0.442;min;187.790;hPa;28.030;deg;61,934;µV;20.000;°C;
1/7/2019;3:40:39 PM;Default;1306;SENSOR1;0.459;min;187.890;hPa;28.030;deg;61,943;µV;20.000;°C;
1/7/2019;3:40:40 PM;Default;1306;SENSOR1;0.476;min;187.960;hPa;28.020;deg;61,938;µV;20.000;°C;
1/7/2019;3:40:41 PM;Default;1306;SENSOR1;0.492;min;187.950;hPa;28.020;deg;61,938;µV;20.000;°C;
1/7/2019;3:40:42 PM;Default;1306;SENSOR1;0.509;min;187.820;hPa;28.030;deg;61,936;µV;20.000;°C;
1/7/2019;3:40:43 PM;Default;1306;SENSOR1;0.526;min;187.770;hPa;28.030;deg;61,932;µV;20.000;°C;
1/7/2019;3:40:44 PM;Default;1306;SENSOR1;0.543;min;188.070;hPa;28.020;deg;61,929;µV;20.000;°C;
1/7/2019;3:40:45 PM;Default;1306;SENSOR1;0.559;min;187.910;hPa;28.020;deg;61,920;µV;20.000;°C;
1/7/2019;3:40:46 PM;Default;1306;SENSOR1;0.576;min;187.950;hPa;28.020;deg;61,920;µV;20.000;°C;
1/7/2019;3:40:47 PM;Default;1306;SENSOR1;0.593;min;188.000;hPa;28.020;deg;61,915;µV;20.000;°C;
1/7/2019;3:40:48 PM;Default;1306;SENSOR1;0.610;min;187.840;hPa;28.030;deg;61,917;µV;20.000;°C;
1/7/2019;3:40:49 PM;Default;1306;SENSOR1;0.627;min;188.050;hPa;28.020;deg;61,915;µV;20.000;°C;
1/7/2019;3:40:50 PM;Default;1306;SENSOR1;0.644;min;188.120;hPa;28.010;deg;61,904;µV;20.000;°C;
1/7/2019;3:40:51 PM;Default;1306;SENSOR1;0.661;min;187.960;hPa;28.020;deg;61,907;µV;20.000;°C;
1/7/2019;3:40:52 PM;Default;1306;SENSOR1;0.677;min;187.930;hPa;28.020;deg;61,904;µV;20.000;°C;
1/7/2019;3:40:53 PM;Default;1306;SENSOR1;0.694;min;187.960;hPa;28.020;deg;61,907;µV;20.000;°C;
1/7/2019;3:40:54 PM;Default;1306;SENSOR1;0.711;min;187.980;hPa;28.020;deg;61,906;µV;20.000;°C;
1/7/2019;3:40:55 PM;Default;1306;SENSOR1;0.728;min;188.000;hPa;28.020;deg;61,914;µV;20.000;°C;
1/7/2019;3:40:56 PM;Default;1306;SENSOR1;0.745;min;187.960;hPa;28.020;deg;61,903;µV;20.000;°C;
1/7/2019;3:40:57 PM;Default;1306;SENSOR1;0.762;min;188.020;hPa;28.020;deg;61,903;µV;20.000;°C;
1/7/2019;3:40:58 PM;Default;1306;SENSOR1;0.779;min;187.980;hPa;28.020;deg;61,894;µV;20.000;°C;
1/7/2019;3:40:59 PM;Default;1306;SENSOR1;0.795;min;187.950;hPa;28.020;deg;61,865;µV;20.000;°C;
1/7/2019;3:41:00 PM;Default;1306;SENSOR1;0.812;min;188.020;hPa;28.020;deg;61,880;µV;20.000;°C;
1/7/2019;3:41:01 PM;Default;1306;SENSOR1;0.829;min;188.030;hPa;28.020;deg;61,879;µV;20.000;°C;
1/7/2019;3:41:02 PM;Default;1306;SENSOR1;0.846;min;187.790;hPa;28.030;deg;61,999;µV;20.000;°C;
1/7/2019;3:41:03 PM;Default;1306;SENSOR1;0.862;min;187.110;hPa;28.070;deg;62,139;µV;20.000;°C;
1/7/2019;3:41:04 PM;Default;1306;SENSOR1;0.879;min;185.660;hPa;28.160;deg;62,391;µV;20.000;°C;
1/7/2019;3:41:05 PM;Default;1306;SENSOR1;0.896;min;185.170;hPa;28.180;deg;62,499;µV;20.000;°C;
1/7/2019;3:41:06 PM;Default;1306;SENSOR1;0.913;min;191.360;hPa;27.830;deg;61,169;µV;20.000;°C;
1/7/2019;3:41:07 PM;Default;1306;SENSOR1;0.929;min;221.650;hPa;26.280;deg;55,901;µV;20.000;°C;
1/7/2019;3:41:08 PM;Default;1306;SENSOR1;0.946;min;271.080;hPa;24.240;deg;49,443;µV;20.000;°C;
1/7/2019;3:41:10 PM;Default;1306;SENSOR1;0.963;min;320.650;hPa;22.620;deg;44,370;µV;20.000;°C;
1/7/2019;3:41:11 PM;Default;1306;SENSOR1;0.980;min;365.880;hPa;21.390;deg;40,615;µV;20.000;°C;
1/7/2019;3:41:12 PM;Default;1306;SENSOR1;0.997;min;405.620;hPa;20.450;deg;37,774;µV;20.000;°C;
1/7/2019;3:41:13 PM;Default;1306;SENSOR1;1.014;min;442.700;hPa;19.680;deg;35,466;µV;20.000;°C;
1/7/2019;3:41:14 PM;Default;1306;SENSOR1;1.030;min;475.430;hPa;19.060;deg;33,632;µV;20.000;°C;
1/7/2019;3:41:15 PM;Default;1306;SENSOR1;1.047;min;505.500;hPa;18.530;deg;32,100;µV;20.000;°C;
1/7/2019;3:41:16 PM;Default;1306;SENSOR1;1.064;min;532.940;hPa;18.080;deg;30,798;µV;20.000;°C;
1/7/2019;3:41:17 PM;Default;1306;SENSOR1;1.081;min;557.520;hPa;17.710;deg;29,675;µV;20.000;°C;
1/7/2019;3:41:18 PM;Default;1306;SENSOR1;1.098;min;579.550;hPa;17.380;deg;28,773;µV;20.000;°C;
1/7/2019;3:41:19 PM;Default;1306;SENSOR1;1.115;min;599.630;hPa;17.100;deg;27,979;µV;20.000;°C;
1/7/2019;3:41:20 PM;Default;1306;SENSOR1;1.131;min;616.860;hPa;16.870;deg;27,319;µV;20.000;°C;
1/7/2019;3:41:21 PM;Default;1306;SENSOR1;1.148;min;632.420;hPa;16.670;deg;26,751;µV;20.000;°C;
1/7/2019;3:41:22 PM;Default;1306;SENSOR1;1.165;min;645.820;hPa;16.500;deg;26,238;µV;20.000;°C;
1/7/2019;3:41:23 PM;Default;1306;SENSOR1;1.182;min;659.070;hPa;16.340;deg;25,803;µV;20.000;°C;
1/7/2019;3:41:24 PM;Default;1306;SENSOR1;1.199;min;671.230;hPa;16.190;deg;25,399;µV;20.000;°C;
1/7/2019;3:41:25 PM;Default;1306;SENSOR1;1.216;min;682.730;hPa;16.050;deg;25,042;µV;20.000;°C;
1/7/2019;3:41:26 PM;Default;1306;SENSOR1;1.233;min;691.590;hPa;15.950;deg;24,729;µV;20.000;°C;
1/7/2019;3:41:27 PM;Default;1306;SENSOR1;1.250;min;701.030;hPa;15.840;deg;24,441;µV;20.000;°C;
1/7/2019;3:41:28 PM;Default;1306;SENSOR1;1.267;min;709.020;hPa;15.750;deg;24,197;µV;20.000;°C;
1/7/2019;3:41:29 PM;Default;1306;SENSOR1;1.283;min;716.220;hPa;15.670;deg;23,980;µV;20.000;°C;
1/7/2019;3:41:30 PM;Default;1306;SENSOR1;1.300;min;722.040;hPa;15.610;deg;23,782;µV;20.000;°C;
1/7/2019;3:41:31 PM;Default;1306;SENSOR1;1.317;min;728.650;hPa;15.530;deg;23,605;µV;20.000;°C;
1/7/2019;3:41:32 PM;Default;1306;SENSOR1;1.334;min;734.410;hPa;15.470;deg;23,444;µV;20.000;°C;
