Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
4/1/2019;2:20:10 PM;Default;1306;SENSOR1;0.001;min;190.240;hPa;27.710;deg;10,769;µV;21.000;°C;
4/1/2019;2:20:10 PM;Default;1306;SENSOR1;0.009;min;190.310;hPa;27.710;deg;10,771;µV;21.000;°C;
4/1/2019;2:20:11 PM;Default;1306;SENSOR1;0.023;min;190.270;hPa;27.710;deg;10,763;µV;21.000;°C;
4/1/2019;2:20:12 PM;Default;1306;SENSOR1;0.040;min;190.590;hPa;27.690;deg;10,755;µV;21.000;°C;
4/1/2019;2:20:13 PM;Default;1306;SENSOR1;0.056;min;190.290;hPa;27.710;deg;10,862;µV;21.000;°C;
4/1/2019;2:20:14 PM;Default;1306;SENSOR1;0.073;min;190.480;hPa;27.700;deg;10,770;µV;21.000;°C;
4/1/2019;2:20:15 PM;Default;1306;SENSOR1;0.090;min;189.580;hPa;27.750;deg;11,644;µV;21.000;°C;
4/1/2019;2:20:16 PM;Default;1306;SENSOR1;0.107;min;189.650;hPa;27.740;deg;12,143;µV;21.000;°C;
4/1/2019;2:20:17 PM;Default;1306;SENSOR1;0.124;min;187.590;hPa;27.860;deg;12,381;µV;21.000;°C;
4/1/2019;2:20:18 PM;Default;1306;SENSOR1;0.140;min;192.940;hPa;27.560;deg;25,787;µV;21.000;°C;
4/1/2019;2:20:19 PM;Default;1306;SENSOR1;0.157;min;217.200;hPa;26.310;deg;24,208;µV;21.000;°C;
4/1/2019;2:20:20 PM;Default;1306;SENSOR1;0.174;min;255.090;hPa;24.680;deg;21,865;µV;21.000;°C;
4/1/2019;2:20:21 PM;Default;1306;SENSOR1;0.191;min;302.750;hPa;23.000;deg;19,682;µV;21.000;°C;
4/1/2019;2:20:22 PM;Default;1306;SENSOR1;0.207;min;345.400;hPa;21.770;deg;17,714;µV;21.000;°C;
4/1/2019;2:20:23 PM;Default;1306;SENSOR1;0.224;min;384.180;hPa;20.790;deg;16,538;µV;21.000;°C;
4/1/2019;2:20:24 PM;Default;1306;SENSOR1;0.241;min;418.340;hPa;20.030;deg;15,552;µV;21.000;°C;
4/1/2019;2:20:25 PM;Default;1306;SENSOR1;0.258;min;446.040;hPa;19.470;deg;14,836;µV;21.000;°C;
4/1/2019;2:20:26 PM;Default;1306;SENSOR1;0.275;min;471.120;hPa;19.000;deg;14,273;µV;21.000;°C;
4/1/2019;2:20:27 PM;Default;1306;SENSOR1;0.292;min;489.320;hPa;18.670;deg;13,841;µV;21.000;°C;
4/1/2019;2:20:28 PM;Default;1306;SENSOR1;0.309;min;506.040;hPa;18.380;deg;13,496;µV;21.000;°C;
4/1/2019;2:20:29 PM;Default;1306;SENSOR1;0.326;min;519.070;hPa;18.170;deg;13,223;µV;21.000;°C;
4/1/2019;2:20:31 PM;Default;1306;SENSOR1;0.343;min;529.920;hPa;18.000;deg;12,996;µV;21.000;°C;
4/1/2019;2:20:32 PM;Default;1306;SENSOR1;0.359;min;539.230;hPa;17.850;deg;12,818;µV;21.000;°C;
4/1/2019;2:20:33 PM;Default;1306;SENSOR1;0.376;min;548.750;hPa;17.700;deg;12,670;µV;21.000;°C;
4/1/2019;2:20:34 PM;Default;1306;SENSOR1;0.393;min;553.580;hPa;17.630;deg;12,546;µV;21.000;°C;
4/1/2019;2:20:35 PM;Default;1306;SENSOR1;0.410;min;559.070;hPa;17.550;deg;12,444;µV;21.000;°C;
4/1/2019;2:20:36 PM;Default;1306;SENSOR1;0.426;min;564.080;hPa;17.480;deg;12,359;µV;21.000;°C;
4/1/2019;2:20:37 PM;Default;1306;SENSOR1;0.443;min;566.880;hPa;17.430;deg;12,286;µV;21.000;°C;
4/1/2019;2:20:38 PM;Default;1306;SENSOR1;0.460;min;573.220;hPa;17.340;deg;12,231;µV;21.000;°C;
4/1/2019;2:20:39 PM;Default;1306;SENSOR1;0.477;min;573.920;hPa;17.330;deg;12,176;µV;21.000;°C;
4/1/2019;2:20:40 PM;Default;1306;SENSOR1;0.494;min;578.040;hPa;17.270;deg;12,135;µV;21.000;°C;
4/1/2019;2:20:41 PM;Default;1306;SENSOR1;0.510;min;579.730;hPa;17.250;deg;12,098;µV;21.000;°C;
4/1/2019;2:20:42 PM;Default;1306;SENSOR1;0.527;min;579.230;hPa;17.260;deg;12,065;µV;21.000;°C;
4/1/2019;2:20:43 PM;Default;1306;SENSOR1;0.544;min;580.360;hPa;17.240;deg;12,044;µV;21.000;°C;
4/1/2019;2:20:44 PM;Default;1306;SENSOR1;0.561;min;583.680;hPa;17.190;deg;12,018;µV;21.000;°C;
4/1/2019;2:20:45 PM;Default;1306;SENSOR1;0.578;min;582.760;hPa;17.210;deg;12,002;µV;21.000;°C;
4/1/2019;2:20:46 PM;Default;1306;SENSOR1;0.594;min;584.750;hPa;17.180;deg;11,981;µV;21.000;°C;
4/1/2019;2:20:47 PM;Default;1306;SENSOR1;0.611;min;584.250;hPa;17.190;deg;11,970;µV;21.000;°C;
4/1/2019;2:20:48 PM;Default;1306;SENSOR1;0.628;min;586.600;hPa;17.150;deg;11,952;µV;21.000;°C;
4/1/2019;2:20:49 PM;Default;1306;SENSOR1;0.645;min;585.600;hPa;17.170;deg;11,944;µV;21.000;°C;
4/1/2019;2:20:50 PM;Default;1306;SENSOR1;0.661;min;585.530;hPa;17.170;deg;11,939;µV;21.000;°C;
4/1/2019;2:20:51 PM;Default;1306;SENSOR1;0.678;min;587.750;hPa;17.140;deg;11,932;µV;21.000;°C;
