Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/14/2019;3:28:45 PM;Default;2825;ANNE2;0.005;min;190.690;hPa;28.100;deg;14,492;µV;19.000;°C;
1/14/2019;3:28:46 PM;Default;2825;ANNE2;0.021;min;191.540;hPa;28.060;deg;9,248;µV;19.000;°C;
1/14/2019;3:28:47 PM;Default;2825;ANNE2;0.038;min;189.330;hPa;28.180;deg;9,996;µV;19.000;°C;
1/14/2019;3:28:48 PM;Default;2825;ANNE2;0.055;min;187.580;hPa;28.280;deg;10,779;µV;19.000;°C;
1/14/2019;3:28:49 PM;Default;2825;ANNE2;0.071;min;182.240;hPa;28.600;deg;11,099;µV;19.000;°C;
1/14/2019;3:28:51 PM;Default;2825;ANNE2;0.088;min;194.170;hPa;27.910;deg;15,152;µV;19.000;°C;
1/14/2019;3:28:52 PM;Default;2825;ANNE2;0.105;min;213.550;hPa;26.900;deg;14,047;µV;19.000;°C;
1/14/2019;3:28:53 PM;Default;2825;ANNE2;0.122;min;232.190;hPa;26.020;deg;13,424;µV;19.000;°C;
1/14/2019;3:28:54 PM;Default;2825;ANNE2;0.139;min;252.030;hPa;25.190;deg;12,756;µV;19.000;°C;
1/14/2019;3:28:55 PM;Default;2825;ANNE2;0.155;min;272.040;hPa;24.420;deg;12,190;µV;19.000;°C;
1/14/2019;3:28:56 PM;Default;2825;ANNE2;0.172;min;289.170;hPa;23.820;deg;11,726;µV;19.000;°C;
1/14/2019;3:28:57 PM;Default;2825;ANNE2;0.189;min;306.510;hPa;23.260;deg;11,314;µV;19.000;°C;
1/14/2019;3:28:58 PM;Default;2825;ANNE2;0.206;min;320.760;hPa;22.820;deg;10,955;µV;19.000;°C;
1/14/2019;3:28:59 PM;Default;2825;ANNE2;0.223;min;337.200;hPa;22.350;deg;10,644;µV;19.000;°C;
1/14/2019;3:29:00 PM;Default;2825;ANNE2;0.240;min;349.400;hPa;22.020;deg;10,375;µV;19.000;°C;
1/14/2019;3:29:01 PM;Default;2825;ANNE2;0.257;min;361.960;hPa;21.690;deg;10,136;µV;19.000;°C;
1/14/2019;3:29:02 PM;Default;2825;ANNE2;0.273;min;372.400;hPa;21.430;deg;9,928;µV;19.000;°C;
1/14/2019;3:29:03 PM;Default;2825;ANNE2;0.290;min;382.490;hPa;21.180;deg;9,747;µV;19.000;°C;
1/14/2019;3:29:04 PM;Default;2825;ANNE2;0.306;min;390.220;hPa;21.000;deg;9,587;µV;19.000;°C;
1/14/2019;3:29:05 PM;Default;2825;ANNE2;0.323;min;399.810;hPa;20.780;deg;9,435;µV;19.000;°C;
1/14/2019;3:29:06 PM;Default;2825;ANNE2;0.340;min;409.320;hPa;20.570;deg;9,304;µV;19.000;°C;
1/14/2019;3:29:07 PM;Default;2825;ANNE2;0.357;min;415.810;hPa;20.430;deg;9,187;µV;19.000;°C;
1/14/2019;3:29:08 PM;Default;2825;ANNE2;0.373;min;422.090;hPa;20.290;deg;9,079;µV;19.000;°C;
1/14/2019;3:29:09 PM;Default;2825;ANNE2;0.390;min;429.590;hPa;20.140;deg;8,991;µV;19.000;°C;
1/14/2019;3:29:10 PM;Default;2825;ANNE2;0.407;min;433.730;hPa;20.050;deg;8,895;µV;19.000;°C;
1/14/2019;3:29:11 PM;Default;2825;ANNE2;0.424;min;439.890;hPa;19.920;deg;8,813;µV;19.000;°C;
1/14/2019;3:29:12 PM;Default;2825;ANNE2;0.440;min;444.450;hPa;19.830;deg;8,749;µV;19.000;°C;
1/14/2019;3:29:13 PM;Default;2825;ANNE2;0.457;min;447.180;hPa;19.780;deg;8,690;µV;19.000;°C;
1/14/2019;3:29:14 PM;Default;2825;ANNE2;0.474;min;452.450;hPa;19.680;deg;8,626;µV;19.000;°C;
1/14/2019;3:29:15 PM;Default;2825;ANNE2;0.490;min;457.370;hPa;19.580;deg;8,575;µV;19.000;°C;
1/14/2019;3:29:16 PM;Default;2825;ANNE2;0.507;min;459.200;hPa;19.550;deg;8,533;µV;19.000;°C;
1/14/2019;3:29:17 PM;Default;2825;ANNE2;0.524;min;463.100;hPa;19.470;deg;8,484;µV;19.000;°C;
1/14/2019;3:29:18 PM;Default;2825;ANNE2;0.541;min;468.600;hPa;19.370;deg;8,448;µV;19.000;°C;
1/14/2019;3:29:19 PM;Default;2825;ANNE2;0.557;min;469.030;hPa;19.360;deg;8,410;µV;19.000;°C;
1/14/2019;3:29:20 PM;Default;2825;ANNE2;0.574;min;471.350;hPa;19.320;deg;8,380;µV;19.000;°C;
1/14/2019;3:29:21 PM;Default;2825;ANNE2;0.591;min;471.240;hPa;19.320;deg;8,348;µV;19.000;°C;
1/14/2019;3:29:22 PM;Default;2825;ANNE2;0.608;min;475.600;hPa;19.240;deg;8,319;µV;19.000;°C;
1/14/2019;3:29:23 PM;Default;2825;ANNE2;0.625;min;475.050;hPa;19.250;deg;8,298;µV;19.000;°C;
1/14/2019;3:29:24 PM;Default;2825;ANNE2;0.641;min;476.470;hPa;19.230;deg;8,272;µV;19.000;°C;
1/14/2019;3:29:25 PM;Default;2825;ANNE2;0.658;min;481.000;hPa;19.140;deg;8,248;µV;19.000;°C;
1/14/2019;3:29:26 PM;Default;2825;ANNE2;0.675;min;482.500;hPa;19.120;deg;8,238;µV;19.000;°C;
1/14/2019;3:29:27 PM;Default;2825;ANNE2;0.692;min;481.660;hPa;19.130;deg;8,218;µV;19.000;°C;
1/14/2019;3:29:28 PM;Default;2825;ANNE2;0.708;min;482.830;hPa;19.110;deg;8,203;µV;19.000;°C;
1/14/2019;3:29:29 PM;Default;2825;ANNE2;0.725;min;485.240;hPa;19.070;deg;8,190;µV;19.000;°C;
1/14/2019;3:29:30 PM;Default;2825;ANNE2;0.742;min;486.470;hPa;19.040;deg;8,174;µV;19.000;°C;
1/14/2019;3:29:31 PM;Default;2825;ANNE2;0.759;min;484.790;hPa;19.080;deg;8,166;µV;19.000;°C;
1/14/2019;3:29:32 PM;Default;2825;ANNE2;0.776;min;486.310;hPa;19.050;deg;8,150;µV;19.000;°C;
1/14/2019;3:29:33 PM;Default;2825;ANNE2;0.792;min;486.980;hPa;19.040;deg;8,147;µV;19.000;°C;
1/14/2019;3:29:34 PM;Default;2825;ANNE2;0.809;min;486.980;hPa;19.040;deg;8,134;µV;19.000;°C;
1/14/2019;3:29:35 PM;Default;2825;ANNE2;0.826;min;488.280;hPa;19.010;deg;8,125;µV;19.000;°C;
1/14/2019;3:29:36 PM;Default;2825;ANNE2;0.843;min;489.860;hPa;18.980;deg;8,117;µV;19.000;°C;
1/14/2019;3:29:37 PM;Default;2825;ANNE2;0.860;min;490.260;hPa;18.980;deg;8,111;µV;19.000;°C;
1/14/2019;3:29:38 PM;Default;2825;ANNE2;0.877;min;490.490;hPa;18.970;deg;8,101;µV;19.000;°C;
