Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
1/14/2019;3:04:30 PM;Default;2825;ANNE2;0.005;min;190.330;hPa;28.120;deg;14,467;µV;19.000;°C;
1/14/2019;3:04:31 PM;Default;2825;ANNE2;0.021;min;190.370;hPa;28.120;deg;14,696;µV;19.000;°C;
1/14/2019;3:04:32 PM;Default;2825;ANNE2;0.038;min;190.120;hPa;28.140;deg;14,675;µV;19.000;°C;
1/14/2019;3:04:33 PM;Default;2825;ANNE2;0.055;min;189.960;hPa;28.150;deg;14,579;µV;19.000;°C;
1/14/2019;3:04:34 PM;Default;2825;ANNE2;0.072;min;189.880;hPa;28.150;deg;14,564;µV;19.000;°C;
1/14/2019;3:04:35 PM;Default;2825;ANNE2;0.089;min;190.400;hPa;28.120;deg;14,605;µV;19.000;°C;
1/14/2019;3:04:36 PM;Default;2825;ANNE2;0.106;min;190.230;hPa;28.130;deg;14,609;µV;19.000;°C;
1/14/2019;3:04:37 PM;Default;2825;ANNE2;0.122;min;189.910;hPa;28.150;deg;14,631;µV;19.000;°C;
1/14/2019;3:04:38 PM;Default;2825;ANNE2;0.139;min;190.160;hPa;28.140;deg;13,731;µV;19.000;°C;
1/14/2019;3:04:39 PM;Default;2825;ANNE2;0.156;min;189.880;hPa;28.150;deg;14,957;µV;19.000;°C;
1/14/2019;3:04:40 PM;Default;2825;ANNE2;0.173;min;189.600;hPa;28.170;deg;14,927;µV;19.000;°C;
1/14/2019;3:04:41 PM;Default;2825;ANNE2;0.190;min;189.680;hPa;28.160;deg;15,029;µV;19.000;°C;
1/14/2019;3:04:42 PM;Default;2825;ANNE2;0.206;min;188.810;hPa;28.210;deg;15,511;µV;19.000;°C;
1/14/2019;3:04:43 PM;Default;2825;ANNE2;0.223;min;186.250;hPa;28.360;deg;15,607;µV;19.000;°C;
1/14/2019;3:04:44 PM;Default;2825;ANNE2;0.240;min;211.960;hPa;26.980;deg;14,225;µV;19.000;°C;
1/14/2019;3:04:45 PM;Default;2825;ANNE2;0.257;min;250.640;hPa;25.240;deg;12,883;µV;19.000;°C;
1/14/2019;3:04:46 PM;Default;2825;ANNE2;0.274;min;289.430;hPa;23.810;deg;11,787;µV;19.000;°C;
1/14/2019;3:04:47 PM;Default;2825;ANNE2;0.290;min;325.830;hPa;22.670;deg;10,921;µV;19.000;°C;
1/14/2019;3:04:48 PM;Default;2825;ANNE2;0.307;min;359.230;hPa;21.760;deg;10,233;µV;19.000;°C;
1/14/2019;3:04:49 PM;Default;2825;ANNE2;0.324;min;391.330;hPa;20.970;deg;9,676;µV;19.000;°C;
1/14/2019;3:04:50 PM;Default;2825;ANNE2;0.341;min;419.350;hPa;20.350;deg;9,205;µV;19.000;°C;
1/14/2019;3:04:51 PM;Default;2825;ANNE2;0.358;min;444.650;hPa;19.830;deg;8,805;µV;19.000;°C;
1/14/2019;3:04:52 PM;Default;2825;ANNE2;0.375;min;469.240;hPa;19.360;deg;8,463;µV;19.000;°C;
1/14/2019;3:04:53 PM;Default;2825;ANNE2;0.392;min;491.570;hPa;18.950;deg;8,176;µV;19.000;°C;
1/14/2019;3:04:54 PM;Default;2825;ANNE2;0.409;min;514.170;hPa;18.570;deg;7,929;µV;19.000;°C;
1/14/2019;3:04:55 PM;Default;2825;ANNE2;0.426;min;529.680;hPa;18.320;deg;7,714;µV;19.000;°C;
1/14/2019;3:04:56 PM;Default;2825;ANNE2;0.442;min;547.050;hPa;18.040;deg;7,520;µV;19.000;°C;
1/14/2019;3:04:57 PM;Default;2825;ANNE2;0.459;min;562.960;hPa;17.800;deg;7,357;µV;19.000;°C;
1/14/2019;3:04:58 PM;Default;2825;ANNE2;0.476;min;579.090;hPa;17.570;deg;7,212;µV;19.000;°C;
1/14/2019;3:04:59 PM;Default;2825;ANNE2;0.493;min;592.910;hPa;17.370;deg;7,075;µV;19.000;°C;
1/14/2019;3:05:00 PM;Default;2825;ANNE2;0.510;min;601.280;hPa;17.250;deg;6,966;µV;19.000;°C;
1/14/2019;3:05:01 PM;Default;2825;ANNE2;0.526;min;612.530;hPa;17.100;deg;6,866;µV;19.000;°C;
1/14/2019;3:05:02 PM;Default;2825;ANNE2;0.543;min;622.600;hPa;16.970;deg;6,770;µV;19.000;°C;
1/14/2019;3:05:03 PM;Default;2825;ANNE2;0.560;min;633.490;hPa;16.820;deg;6,693;µV;19.000;°C;
1/14/2019;3:05:04 PM;Default;2825;ANNE2;0.577;min;645.720;hPa;16.670;deg;6,614;µV;19.000;°C;
