Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
4/3/2019;3:07:42 PM;Default;1306;SENSOR1;0.006;min;189.830;hPa;27.730;deg;26,191;µV;21.000;°C;
4/3/2019;3:07:43 PM;Default;1306;SENSOR1;0.023;min;189.440;hPa;27.750;deg;26,179;µV;21.000;°C;
4/3/2019;3:07:44 PM;Default;1306;SENSOR1;0.040;min;189.510;hPa;27.750;deg;26,343;µV;21.000;°C;
4/3/2019;3:07:45 PM;Default;1306;SENSOR1;0.057;min;188.960;hPa;27.780;deg;26,383;µV;21.000;°C;
4/3/2019;3:07:46 PM;Default;1306;SENSOR1;0.074;min;188.980;hPa;27.780;deg;26,379;µV;21.000;°C;
4/3/2019;3:07:47 PM;Default;1306;SENSOR1;0.090;min;188.770;hPa;27.790;deg;26,413;µV;21.000;°C;
4/3/2019;3:07:48 PM;Default;1306;SENSOR1;0.107;min;188.540;hPa;27.800;deg;26,419;µV;21.000;°C;
4/3/2019;3:07:49 PM;Default;1306;SENSOR1;0.124;min;188.350;hPa;27.810;deg;26,443;µV;21.000;°C;
4/3/2019;3:07:50 PM;Default;1306;SENSOR1;0.140;min;188.490;hPa;27.800;deg;26,500;µV;21.000;°C;
4/3/2019;3:07:51 PM;Default;1306;SENSOR1;0.157;min;188.310;hPa;27.810;deg;26,573;µV;21.000;°C;
4/3/2019;3:07:52 PM;Default;1306;SENSOR1;0.174;min;186.760;hPa;27.900;deg;25,580;µV;21.000;°C;
4/3/2019;3:07:53 PM;Default;1306;SENSOR1;0.191;min;184.950;hPa;28.010;deg;25,977;µV;21.000;°C;
4/3/2019;3:07:54 PM;Default;1306;SENSOR1;0.207;min;192.350;hPa;27.590;deg;25,642;µV;21.000;°C;
4/3/2019;3:07:55 PM;Default;1306;SENSOR1;0.224;min;206.200;hPa;26.850;deg;24,282;µV;21.000;°C;
4/3/2019;3:07:56 PM;Default;1306;SENSOR1;0.241;min;226.870;hPa;25.860;deg;23,547;µV;21.000;°C;
4/3/2019;3:07:57 PM;Default;1306;SENSOR1;0.258;min;247.970;hPa;24.960;deg;22,329;µV;21.000;°C;
4/3/2019;3:07:58 PM;Default;1306;SENSOR1;0.275;min;267.470;hPa;24.200;deg;21,302;µV;21.000;°C;
4/3/2019;3:07:59 PM;Default;1306;SENSOR1;0.292;min;285.420;hPa;23.570;deg;20,442;µV;21.000;°C;
4/3/2019;3:08:01 PM;Default;1306;SENSOR1;0.308;min;302.430;hPa;23.010;deg;19,710;µV;21.000;°C;
4/3/2019;3:08:02 PM;Default;1306;SENSOR1;0.325;min;318.310;hPa;22.520;deg;19,080;µV;21.000;°C;
4/3/2019;3:08:03 PM;Default;1306;SENSOR1;0.342;min;332.950;hPa;22.100;deg;18,531;µV;21.000;°C;
4/3/2019;3:08:04 PM;Default;1306;SENSOR1;0.359;min;345.800;hPa;21.750;deg;18,036;µV;21.000;°C;
4/3/2019;3:08:05 PM;Default;1306;SENSOR1;0.376;min;358.420;hPa;21.420;deg;17,593;µV;21.000;°C;
4/3/2019;3:08:06 PM;Default;1306;SENSOR1;0.393;min;369.580;hPa;21.140;deg;17,216;µV;21.000;°C;
4/3/2019;3:08:07 PM;Default;1306;SENSOR1;0.410;min;379.700;hPa;20.890;deg;16,895;µV;21.000;°C;
4/3/2019;3:08:08 PM;Default;1306;SENSOR1;0.426;min;389.370;hPa;20.670;deg;16,600;µV;21.000;°C;
4/3/2019;3:08:09 PM;Default;1306;SENSOR1;0.443;min;398.290;hPa;20.460;deg;16,340;µV;21.000;°C;
4/3/2019;3:08:10 PM;Default;1306;SENSOR1;0.460;min;407.460;hPa;20.260;deg;16,108;µV;21.000;°C;
4/3/2019;3:08:11 PM;Default;1306;SENSOR1;0.477;min;414.590;hPa;20.110;deg;15,895;µV;21.000;°C;
4/3/2019;3:08:12 PM;Default;1306;SENSOR1;0.493;min;420.870;hPa;19.980;deg;15,706;µV;21.000;°C;
4/3/2019;3:08:13 PM;Default;1306;SENSOR1;0.510;min;424.940;hPa;19.890;deg;15,535;µV;21.000;°C;
4/3/2019;3:08:14 PM;Default;1306;SENSOR1;0.527;min;432.550;hPa;19.730;deg;15,384;µV;21.000;°C;
4/3/2019;3:08:15 PM;Default;1306;SENSOR1;0.544;min;438.310;hPa;19.620;deg;15,249;µV;21.000;°C;
4/3/2019;3:08:16 PM;Default;1306;SENSOR1;0.561;min;442.190;hPa;19.540;deg;15,121;µV;21.000;°C;
4/3/2019;3:08:17 PM;Default;1306;SENSOR1;0.578;min;446.210;hPa;19.460;deg;15,011;µV;21.000;°C;
4/3/2019;3:08:18 PM;Default;1306;SENSOR1;0.594;min;451.620;hPa;19.360;deg;14,915;µV;21.000;°C;
4/3/2019;3:08:19 PM;Default;1306;SENSOR1;0.611;min;454.810;hPa;19.300;deg;14,819;µV;21.000;°C;
4/3/2019;3:08:20 PM;Default;1306;SENSOR1;0.628;min;457.910;hPa;19.240;deg;14,740;µV;21.000;°C;
4/3/2019;3:08:21 PM;Default;1306;SENSOR1;0.645;min;460.560;hPa;19.190;deg;14,661;µV;21.000;°C;
4/3/2019;3:08:22 PM;Default;1306;SENSOR1;0.662;min;463.770;hPa;19.130;deg;14,586;µV;21.000;°C;
4/3/2019;3:08:23 PM;Default;1306;SENSOR1;0.679;min;466.630;hPa;19.070;deg;14,526;µV;21.000;°C;
4/3/2019;3:08:24 PM;Default;1306;SENSOR1;0.696;min;468.030;hPa;19.050;deg;14,468;µV;21.000;°C;
4/3/2019;3:08:25 PM;Default;1306;SENSOR1;0.713;min;471.080;hPa;18.990;deg;14,417;µV;21.000;°C;
4/3/2019;3:08:26 PM;Default;1306;SENSOR1;0.729;min;472.180;hPa;18.970;deg;14,370;µV;21.000;°C;
4/3/2019;3:08:27 PM;Default;1306;SENSOR1;0.746;min;473.830;hPa;18.940;deg;14,323;µV;21.000;°C;
4/3/2019;3:08:28 PM;Default;1306;SENSOR1;0.763;min;475.760;hPa;18.910;deg;14,287;µV;21.000;°C;
4/3/2019;3:08:29 PM;Default;1306;SENSOR1;0.780;min;478.210;hPa;18.860;deg;14,248;µV;21.000;°C;
4/3/2019;3:08:30 PM;Default;1306;SENSOR1;0.797;min;479.770;hPa;18.840;deg;14,214;µV;21.000;°C;
4/3/2019;3:08:31 PM;Default;1306;SENSOR1;0.814;min;480.220;hPa;18.830;deg;14,188;µV;21.000;°C;
4/3/2019;3:08:32 PM;Default;1306;SENSOR1;0.831;min;481.170;hPa;18.810;deg;14,161;µV;21.000;°C;
4/3/2019;3:08:33 PM;Default;1306;SENSOR1;0.847;min;483.370;hPa;18.770;deg;14,139;µV;21.000;°C;
4/3/2019;3:08:34 PM;Default;1306;SENSOR1;0.864;min;482.350;hPa;18.790;deg;14,113;µV;21.000;°C;
4/3/2019;3:08:35 PM;Default;1306;SENSOR1;0.881;min;484.550;hPa;18.750;deg;14,098;µV;21.000;°C;
