Dbg: 20445184 - 3856 | 560 496 132019-03-01T13:54:58;
Connected: COM2019-03-01T13:54:59;
Sending: p145.417889200322019-03-01T13:55:00;
Sending: p145.469390156892019-03-01T13:55:01;
Sending: p145.224585660202019-03-01T13:55:02;
Sending: p145.482055827562019-03-01T13:55:03;
Sending: p145.263129257702019-03-01T13:55:04;
Sending: p145.288960597392019-03-01T13:55:05;
Sending: p145.327524420202019-03-01T13:55:06;
Sending: p145.39187598222019-03-01T13:55:07;
Sending: p145.147418904562019-03-01T13:55:08;
Sending: p145.353330624832019-03-01T13:55:09;
Sending: p145.250408887862019-03-01T13:55:10;
Sending: p145.108718568702019-03-01T13:55:11;
Sending: p145.301762302342019-03-01T13:55:12;
Sending: p145.134285693422019-03-01T13:55:13;
Sending: p145.134401569132019-03-01T13:55:14;
Sending: p145.173071377032019-03-01T13:55:15;
Sending: p145.23738064712019-03-01T13:55:17;
Sending: p145.211637436922019-03-01T13:55:18;
Sending: p145.095859779002019-03-01T13:55:19;
Sending: p145.095859779002019-03-01T13:55:20;
Sending: p145.147264400542019-03-01T13:55:21;
Sending: p145.095975614802019-03-01T13:55:22;
Sending: p145.211598792662019-03-01T13:55:23;
Sending: p145.121462843422019-03-01T13:55:24;
Sending: p145.070030421312019-03-01T13:55:25;
Sending: p144.993037973632019-03-01T13:55:26;
Sending: p145.09582116552019-03-01T13:55:27;
Sending: p145.083040946572019-03-01T13:55:28;
Sending: p144.941543673362019-03-01T13:55:29;
Sending: p145.070030421312019-03-01T13:55:30;
Sending: p144.890456571472019-03-01T13:55:31;
Sending: p145.070146243412019-03-01T13:55:32;
Sending: p144.941659392882019-03-01T13:55:33;
Sending: p144.967268831752019-03-01T13:55:34;
Sending: p144.890302344062019-03-01T13:55:35;
Sending: p144.851644481982019-03-01T13:55:36;
Sending: p144.90302389952019-03-01T13:55:37;
Sending: p145.070107636802019-03-01T13:55:38;
Sending: p144.826136293992019-03-01T13:55:39;
Sending: p144.992960800692019-03-01T13:55:40;
Sending: p144.890263785312019-03-01T13:55:41;
Sending: p144.800517817762019-03-01T13:55:43;
Sending: p144.774981752582019-03-01T13:55:44;
Sending: p144.877273660572019-03-01T13:55:45;
Sending: p144.787498663862019-03-01T13:55:46;
Sending: p144.864670441522019-03-01T13:55:47;
Sending: p144.915978177732019-03-01T13:55:48;
Sending: p144.800402213232019-03-01T13:55:49;
Sending: p144.684896699572019-03-01T13:55:50;
Sending: p144.736398786042019-03-01T13:55:51;
Sending: p144.864554785772019-03-01T13:55:52;
Sending: p144.761926795372019-03-01T13:55:53;
Sending: p144.787729854722019-03-01T13:55:54;
Sending: p144.838774082132019-03-01T13:55:55;
Sending: p144.825982122762019-03-01T13:55:56;
Sending: p144.826020666702019-03-01T13:55:57;
Sending: p144.761926795372019-03-01T13:55:58;
Sending: p144.723694544982019-03-01T13:55:59;
Sending: p144.787691324802019-03-01T13:56:00;
Sending: p144.748950247202019-03-01T13:56:01;
Sending: p144.851721582782019-03-01T13:56:02;
