Dbg: 20576976 - 3856 | 560 496 132019-03-01T15:39:02;
Connected: COM2019-03-01T15:39:04;
Sending: p73.2621017308882019-03-01T15:39:04;
Sending: p73.2496293896342019-03-01T15:39:05;
Sending: p73.255845827532019-03-01T15:39:06;
Sending: p73.2124773743052019-03-01T15:39:07;
Sending: p73.2559042873042019-03-01T15:39:08;
Sending: p73.2621601921542019-03-01T15:39:09;
Sending: p73.2682606815802019-03-01T15:39:10;
Sending: p73.2993356051432019-03-01T15:39:11;
Sending: p73.2807554569532019-03-01T15:39:12;
Sending: p73.2867599015642019-03-01T15:39:13;
Sending: p73.2867793983132019-03-01T15:39:14;
Sending: p73.3303837515912019-03-01T15:39:15;
Sending: p73.2993161081612019-03-01T15:39:17;
Sending: v802019-03-01T15:39:18;
Valve PWM: 8002019-03-01T15:39:18;
Sending: p73.3364504925852019-03-01T15:39:18;
Sending: p73.3117182988272019-03-01T15:39:19;
Sending: p73.2621991644172019-03-01T15:39:20;
Sending: p73.2868768763082019-03-01T15:39:21;
Sending: p73.2744396030002019-03-01T15:39:22;
Sending: p73.255845827532019-03-01T15:39:23;
Sending: p73.2621601921542019-03-01T15:39:24;
Sending: p73.3116792971152019-03-01T15:39:25;
Sending: p73.243510859402019-03-01T15:39:26;
Sending: p73.3054389616922019-03-01T15:39:27;
Sending: p73.2249438424782019-03-01T15:39:28;
Sending: p73.2744590949182019-03-01T15:39:29;
Sending: p73.237275912072019-03-01T15:39:30;
Sending: p73.2745760383832019-03-01T15:39:31;
Sending: p73.3116792971152019-03-01T15:39:32;
Sending: p73.2993356051432019-03-01T15:39:33;
Sending: p73.2063811907482019-03-01T15:39:34;
Sending: p73.2435303419322019-03-01T15:39:35;
Sending: p73.2682411913112019-03-01T15:39:36;
Sending: p73.2682606815802019-03-01T15:39:37;
Sending: p73.2311193768282019-03-01T15:39:39;
Sending: p73.2063617184912019-03-01T15:39:40;
Sending: p73.2992966107952019-03-01T15:39:41;
Sending: p73.2310414560792019-03-01T15:39:42;
Sending: p73.2745175683742019-03-01T15:39:43;
Sending: p73.237275912072019-03-01T15:39:44;
Sending: p73.2497073301622019-03-01T15:39:45;
Sending: p73.2248464507382019-03-01T15:39:46;
Sending: p73.1692105909002019-03-01T15:39:47;
Sending: p73.2434913764962019-03-01T15:39:48;
Sending: p73.193839772452019-03-01T15:39:49;
Sending: p73.1568113081242019-03-01T15:39:50;
Sending: p73.1753428366592019-03-01T15:39:51;
Sending: p73.2001102351032019-03-01T15:39:52;
Sending: p73.1815144903572019-03-01T15:39:53;
Sending: p73.1630009753302019-03-01T15:39:54;
Sending: p73.1444917976772019-03-01T15:39:55;
Sending: p73.1939955348682019-03-01T15:39:56;
Sending: p73.2310414560792019-03-01T15:39:57;
Sending: p73.2125552737502019-03-01T15:39:58;
Sending: p73.1691911281422019-03-01T15:39:59;
Sending: p73.2682996609702019-03-01T15:40:00;
Sending: p73.2559627436252019-03-01T15:40:01;
Sending: p73.324083428962019-03-01T15:40:02;
Sending: p73.392360513102019-03-01T15:40:03;
Sending: p73.4421175871152019-03-01T15:40:05;
Sending: p73.5663343837652019-03-01T15:40:06;
Sending: p73.5602108730922019-03-01T15:40:07;
Sending: p73.7408289393422019-03-01T15:40:08;
Sending: p73.8218902985122019-03-01T15:40:09;
Sending: p73.878085515372019-03-01T15:40:10;
Sending: p74.0094021300232019-03-01T15:40:11;
Sending: p74.2725505875022019-03-01T15:40:12;
Sending: p74.3919472009262019-03-01T15:40:13;
Sending: p74.5555488047182019-03-01T15:40:14;
Sending: p74.7636475955712019-03-01T15:40:15;
Sending: p74.8584449173452019-03-01T15:40:16;
Sending: p75.0737963839952019-03-01T15:40:17;
Sending: p75.27695497872019-03-01T15:40:18;
Sending: p75.4424620864962019-03-01T15:40:19;
Sending: p75.7679879897632019-03-01T15:40:20;
Sending: p75.9600113518432019-03-01T15:40:21;
Sending: p76.4422873415042019-03-01T15:40:22;
Sending: p76.6877459036442019-03-01T15:40:23;
Sending: p76.9599328470942019-03-01T15:40:24;
Sending: p77.2850762911082019-03-01T15:40:25;
Sending: p77.5788999714212019-03-01T15:40:26;
Sending: p77.9328915091602019-03-01T15:40:28;
Sending: p78.2157778942132019-03-01T15:40:29;
Sending: p78.5592674716642019-03-01T15:40:30;
Sending: p78.8842218505832019-03-01T15:40:31;
Sending: p79.2441127481852019-03-01T15:40:32;
Sending: p79.6255755612932019-03-01T15:40:33;
Sending: p80.0760448206382019-03-01T15:40:34;
Sending: p80.3665271180662019-03-01T15:40:35;
Sending: p80.7055794322972019-03-01T15:40:36;
Sending: p81.1211667263162019-03-01T15:40:37;
Sending: p81.5453332629932019-03-01T15:40:38;
Sending: p81.9858561668522019-03-01T15:40:39;
Sending: p82.3938817487632019-03-01T15:40:40;
Sending: p82.8875252257032019-03-01T15:40:41;
Sending: p83.2090559610542019-03-01T15:40:42;
Sending: p83.6652439046332019-03-01T15:40:43;
Sending: p84.1028540418512019-03-01T15:40:44;
Sending: p84.6423078782562019-03-01T15:40:45;
Sending: p84.984687650472019-03-01T15:40:46;
Sending: p85.8469450228002019-03-01T15:40:48;
Sending: p86.390137760742019-03-01T15:40:49;
Sending: p86.7469189939362019-03-01T15:40:50;
Sending: p87.229944930732019-03-01T15:40:51;
Sending: p87.7302959375442019-03-01T15:40:52;
Sending: p88.2187210587142019-03-01T15:40:53;
Sending: p88.5906342462202019-03-01T15:40:54;
Sending: p89.0763880044462019-03-01T15:40:55;
Sending: p89.5045991685572019-03-01T15:40:56;
Sending: p89.9425684669532019-03-01T15:40:57;
Sending: p90.3826020571442019-03-01T15:40:58;
Sending: p90.8784352258152019-03-01T15:40:59;
Sending: p91.2923332487682019-03-01T15:41:00;
Sending: p91.8087871634132019-03-01T15:41:01;
Sending: p92.2815849420672019-03-01T15:41:02;
Sending: p92.8349436682452019-03-01T15:41:03;
Sending: p93.1089353094062019-03-01T15:41:04;
Sending: p93.5886688064332019-03-01T15:41:05;
Sending: p94.0549866662412019-03-01T15:41:06;
Sending: p94.5557368042282019-03-01T15:41:07;
Sending: p94.9548733953222019-03-01T15:41:08;
Sending: p95.4043169433342019-03-01T15:41:10;
Sending: p95.7347641898332019-03-01T15:41:11;
Sending: p96.2934317038422019-03-01T15:41:12;
Sending: p96.6514815393562019-03-01T15:41:13;
Sending: p97.5362167795902019-03-01T15:41:14;
Sending: p97.9652862295422019-03-01T15:41:15;
Sending: p98.4211698161742019-03-01T15:41:16;
Sending: p98.8042669983662019-03-01T15:41:17;
Sending: p99.1805893903942019-03-01T15:41:18;
Sending: p99.6679059841892019-03-01T15:41:19;
Sending: p100.005366076182019-03-01T15:41:20;
Sending: p100.403384975432019-03-01T15:41:21;
Sending: p100.700936573932019-03-01T15:41:22;
Sending: p101.144722351622019-03-01T15:41:23;
Sending: p101.521912955012019-03-01T15:41:24;
Sending: p101.831727284402019-03-01T15:41:25;
Sending: p102.211548680522019-03-01T15:41:26;
Sending: p102.636436645022019-03-01T15:41:27;
Sending: p103.02828364642019-03-01T15:41:28;
Sending: p103.36904659452019-03-01T15:41:29;
Sending: p103.764011025012019-03-01T15:41:30;
Sending: p104.09859761792019-03-01T15:41:32;
Sending: p104.452140116422019-03-01T15:41:33;
Sending: p104.75363807822019-03-01T15:41:34;
Sending: p105.074374753162019-03-01T15:41:35;
Sending: p105.4491389262019-03-01T15:41:36;
Sending: p105.735915508022019-03-01T15:41:37;
Sending: p105.960560133352019-03-01T15:41:38;
Sending: p106.42035516892019-03-01T15:41:39;
Sending: p106.592109279922019-03-01T15:41:40;
Sending: p107.373747187832019-03-01T15:41:41;
Sending: p107.574687419662019-03-01T15:41:42;
Sending: p107.90429759792019-03-01T15:41:43;
Sending: p108.179742797962019-03-01T15:41:44;
Sending: p108.47449405922019-03-01T15:41:45;
Sending: p108.779696312412019-03-01T15:41:46;
Sending: p109.011366871262019-03-01T15:41:47;
Sending: p109.410967957562019-03-01T15:41:48;
Sending: p109.560069777382019-03-01T15:41:49;
Sending: p109.877713984212019-03-01T15:41:50;
Sending: p110.065094249552019-03-01T15:41:51;
Sending: p110.327963815852019-03-01T15:41:52;
Sending: p110.628992050272019-03-01T15:41:53;
Sending: p110.799128313242019-03-01T15:41:55;
Sending: p111.044726372802019-03-01T15:41:56;
Sending: p111.310379629412019-03-01T15:41:57;
Sending: p111.623942407602019-03-01T15:41:58;
Sending: p111.795527981222019-03-01T15:41:59;
Sending: p112.015034610762019-03-01T15:42:00;
Sending: p112.225528808932019-03-01T15:42:01;
Sending: p112.484460487122019-03-01T15:42:02;
Sending: p112.657448730192019-03-01T15:42:03;
Sending: p112.850033347122019-03-01T15:42:04;
Sending: p113.091419891862019-03-01T15:42:05;
Sending: p113.313653650172019-03-01T15:42:06;
Sending: p113.517181382052019-03-01T15:42:07;
Sending: p113.701617430002019-03-01T15:42:08;
Sending: p113.915777263092019-03-01T15:42:09;
Sending: p114.081302263542019-03-01T15:42:10;
Sending: p114.266969421092019-03-01T15:42:11;
Sending: p114.364636542462019-03-01T15:42:12;
Sending: p114.71745953262019-03-01T15:42:13;
Sending: p114.962980969742019-03-01T15:42:14;
Sending: p115.218918648982019-03-01T15:42:15;
Sending: p115.28812802722019-03-01T15:42:16;
Sending: p115.465851515202019-03-01T15:42:17;
Sending: p115.495604196472019-03-01T15:42:18;
Sending: p115.693404637522019-03-01T15:42:20;
Sending: p115.961366936272019-03-01T15:42:21;
Sending: p116.140187513802019-03-01T15:42:22;
Sending: p116.209921956782019-03-01T15:42:23;
Sending: p116.329469499792019-03-01T15:42:24;
Sending: p116.508862734632019-03-01T15:42:25;
Sending: p116.718887652492019-03-01T15:42:26;
Sending: p116.879002937992019-03-01T15:42:27;
Sending: p116.939237875882019-03-01T15:42:28;
Sending: p117.049618746552019-03-01T15:42:29;
Sending: p117.270574781142019-03-01T15:42:30;
Sending: p117.341131614412019-03-01T15:42:31;
Sending: p117.411517386402019-03-01T15:42:32;
Sending: p117.512409636642019-03-01T15:42:33;
Sending: p117.623303139052019-03-01T15:42:34;
Sending: p117.744605387062019-03-01T15:42:35;
Sending: p117.865828517962019-03-01T15:42:36;
Sending: p117.956971150402019-03-01T15:42:37;
Sending: p118.098808134022019-03-01T15:42:38;
Sending: p118.291607644682019-03-01T15:42:39;
Sending: p118.352533662452019-03-01T15:42:41;
Sending: p118.464286215502019-03-01T15:42:42;
Sending: p118.63727976882019-03-01T15:42:43;
Sending: p118.708791865032019-03-01T15:42:44;
Sending: p118.851708554742019-03-01T15:42:45;
Sending: p118.892432865232019-03-01T15:42:46;
Sending: p118.984499825132019-03-01T15:42:47;
Sending: p119.076551990632019-03-01T15:42:48;
Sending: p119.178926214862019-03-01T15:42:49;
Sending: p119.219935361392019-03-01T15:42:50;
Sending: p119.322480151622019-03-01T15:42:51;
Sending: p119.373710417022019-03-01T15:42:52;
Sending: p119.363513180412019-03-01T15:42:53;
Sending: p119.548422247982019-03-01T15:42:54;
Sending: p119.66125576522019-03-01T15:42:55;
Sending: p119.723071977702019-03-01T15:42:56;
Sending: p119.671704524612019-03-01T15:42:57;
Sending: p119.836473964352019-03-01T15:42:58;
Sending: p119.92926919832019-03-01T15:42:59;
Sending: p120.053058430842019-03-01T15:43:00;
Sending: p120.053090365192019-03-01T15:43:01;
Sending: p120.135771212972019-03-01T15:43:03;
Sending: p120.156379550792019-03-01T15:43:04;
Sending: p120.187459393682019-03-01T15:43:05;
Sending: p120.270372654412019-03-01T15:43:06;
Sending: p120.435848334862019-03-01T15:43:07;
Sending: p120.50851914142019-03-01T15:43:08;
Sending: p120.560356391812019-03-01T15:43:09;
Sending: p120.570701207772019-03-01T15:43:10;
Sending: p120.726475647442019-03-01T15:43:11;
Sending: p120.788977614022019-03-01T15:43:12;
Sending: p120.778450995552019-03-01T15:43:13;
Sending: p120.934657549412019-03-01T15:43:14;
Sending: p120.955453009842019-03-01T15:43:15;
Sending: p120.97631687032019-03-01T15:43:16;
Sending: p121.059587611092019-03-01T15:43:17;
Sending: p121.080568403352019-03-01T15:43:18;
