Dbg: 20445184 - 3856 | 560 496 132019-03-01T15:03:48;
Connected: COM2019-03-01T15:03:54;
Sending: p2019-03-01T15:03:55;
Sending: p2019-03-01T15:03:56;
Sending: p2019-03-01T15:03:57;
Sending: p2019-03-01T15:03:58;
Sending: p2019-03-01T15:03:59;
Sending: p2019-03-01T15:04:00;
Sending: p2019-03-01T15:04:01;
Sending: p2019-03-01T15:04:02;
Sending: p2019-03-01T15:04:03;
Sending: p2019-03-01T15:04:04;
Sending: p2019-03-01T15:04:05;
Sending: p2019-03-01T15:04:07;
Sending: p2019-03-01T15:04:08;
Sending: p2019-03-01T15:04:09;
Sending: v802019-03-01T15:04:09;
Valve PWM: 8002019-03-01T15:04:09;
Sending: p2019-03-01T15:04:10;
Sending: p2019-03-01T15:04:11;
Sending: p2019-03-01T15:04:12;
Sending: p2019-03-01T15:04:13;
Sending: p2019-03-01T15:04:14;
Sending: p2019-03-01T15:04:15;
Sending: p2019-03-01T15:04:16;
Sending: p2019-03-01T15:04:17;
Sending: p2019-03-01T15:04:18;
Sending: v2019-03-01T15:04:19;
Valve PWM: 02019-03-01T15:04:19;
Sending: p2019-03-01T15:04:19;
Sending: p2019-03-01T15:04:20;
Sending: p2019-03-01T15:04:21;
Sending: p2019-03-01T15:04:22;
Sending: p2019-03-01T15:04:23;
Sending: p2019-03-01T15:04:24;
Sending: p2019-03-01T15:04:25;
Sending: p2019-03-01T15:04:26;
Sending: p2019-03-01T15:04:27;
Sending: p2019-03-01T15:04:28;
Sending: v702019-03-01T15:04:29;
Valve PWM: 7002019-03-01T15:04:29;
Sending: p2019-03-01T15:04:29;
Sending: p2019-03-01T15:04:30;
Sending: p2019-03-01T15:04:31;
Sending: p2019-03-01T15:04:32;
Sending: p2019-03-01T15:04:33;
Sending: p2019-03-01T15:04:34;
Sending: p2019-03-01T15:04:36;
Sending: p2019-03-01T15:04:37;
Sending: p2019-03-01T15:04:38;
Sending: p2019-03-01T15:04:39;
Sending: p2019-03-01T15:04:40;
Sending: p2019-03-01T15:04:41;
Sending: p2019-03-01T15:04:42;
Sending: p2019-03-01T15:04:43;
Sending: p2019-03-01T15:04:44;
Sending: p2019-03-01T15:04:45;
Sending: p2019-03-01T15:04:46;
Sending: p2019-03-01T15:04:47;
Sending: p2019-03-01T15:04:48;
Sending: p2019-03-01T15:04:49;
Sending: p2019-03-01T15:04:50;
Sending: p2019-03-01T15:04:51;
Sending: p2019-03-01T15:04:52;
Sending: p2019-03-01T15:04:53;
Sending: p2019-03-01T15:04:54;
Sending: p2019-03-01T15:04:55;
Sending: p2019-03-01T15:04:57;
Sending: p2019-03-01T15:04:58;
Sending: p2019-03-01T15:04:59;
Sending: p2019-03-01T15:05:00;
Sending: p2019-03-01T15:05:01;
Sending: p2019-03-01T15:05:02;
Sending: p2019-03-01T15:05:03;
Sending: p2019-03-01T15:05:04;
Sending: p2019-03-01T15:05:05;
Sending: p2019-03-01T15:05:06;
Sending: p2019-03-01T15:05:07;
Sending: p2019-03-01T15:05:08;
Sending: p2019-03-01T15:05:09;
Sending: p2019-03-01T15:05:10;
Sending: p2019-03-01T15:05:11;
Sending: p2019-03-01T15:05:12;
Valve PWM: 702019-03-01T15:05:13;
Sending: p2019-03-01T15:05:13;
Sending: p2019-03-01T15:05:14;
Sending: p2019-03-01T15:05:15;
Sending: p2019-03-01T15:05:16;
Sending: p2019-03-01T15:05:17;
Sending: p2019-03-01T15:05:18;
Sending: p2019-03-01T15:05:20;
Sending: p2019-03-01T15:05:21;
Sending: p2019-03-01T15:05:22;
Sending: p2019-03-01T15:05:23;
Sending: p2019-03-01T15:05:24;
Sending: p2019-03-01T15:05:25;
Sending: p2019-03-01T15:05:26;
Sending: p2019-03-01T15:05:27;
Sending: p2019-03-01T15:05:28;
Sending: p2019-03-01T15:05:29;
Sending: p2019-03-01T15:05:30;
Sending: p2019-03-01T15:05:31;
Sending: p2019-03-01T15:05:32;
Sending: p2019-03-01T15:05:33;
Sending: p2019-03-01T15:05:34;
