Dbg: 18939664 - 3856 | 560 496 132019-02-25T15:46:35;
Connected: COM2019-02-25T15:46:37;
Sending: p370.472336622292019-02-25T15:46:37;
Sending: p390.106000447742019-02-25T15:46:38;
Sending: p390.0193070372019-02-25T15:46:39;
Sending: p386.223830820812019-02-25T15:46:40;
Sending: p388.331734630852019-02-25T15:46:41;
Sending: p384.5992132472019-02-25T15:46:42;
Sending: p370.798082548382019-02-25T15:46:43;
Sending: p372.843494171492019-02-25T15:46:44;
Sending: p378.518724808832019-02-25T15:46:45;
Sending: p387.728228232562019-02-25T15:46:46;
Sending: v1022019-02-25T15:46:47;
Automatic activated2019-02-25T15:46:47;
Sending: p384.855639985532019-02-25T15:46:47;
Sending: p374.985079043462019-02-25T15:46:48;
Sending: p382.178563777002019-02-25T15:46:49;
Sending: p378.435287870682019-02-25T15:46:50;
Sending: p370.879618233402019-02-25T15:46:51;
Sending: p368.564337928842019-02-25T15:46:52;
Sending: p376.559856257812019-02-25T15:46:53;
Sending: p370.676258946512019-02-25T15:46:54;
Sending: p373.871075912952019-02-25T15:46:56;
Sending: p374.737188396652019-02-25T15:46:57;
Sending: p377.850703610202019-02-25T15:46:58;
Sending: p386.095348207332019-02-25T15:46:59;
Sending: p387.728411639502019-02-25T15:47:00;
Sending: p387.770845404302019-02-25T15:47:01;
Sending: p368.160546452912019-02-25T15:47:02;
Sending: p372.269386603752019-02-25T15:47:03;
Sending: p381.080186786672019-02-25T15:47:04;
Sending: p389.542503199052019-02-25T15:47:05;
Sending: p393.202745100702019-02-25T15:47:06;
Sending: p379.063053983822019-02-25T15:47:07;
Sending: p376.685234099472019-02-25T15:47:08;
Sending: p391.236846139952019-02-25T15:47:09;
Sending: p400.515942403372019-02-25T15:47:10;
Sending: p393.114644611892019-02-25T15:47:11;
Sending: p401.773794563412019-02-25T15:47:12;
Sending: p385.239900974652019-02-25T15:47:13;
Sending: p386.911000323372019-02-25T15:47:14;
Sending: p380.616918271332019-02-25T15:47:15;
Sending: p389.88898870342019-02-25T15:47:16;
Sending: p392.021507609522019-02-25T15:47:17;
Sending: p391.149565241022019-02-25T15:47:19;
Sending: p395.621623520522019-02-25T15:47:20;
Sending: p379.565941605972019-02-25T15:47:21;
Sending: p376.228020885222019-02-25T15:47:22;
Sending: p379.188384805012019-02-25T15:47:23;
Sending: p375.564101338752019-02-25T15:47:24;
Sending: p374.324132998402019-02-25T15:47:25;
Sending: p386.739020967252019-02-25T15:47:26;
Sending: p379.356140526562019-02-25T15:47:27;
Sending: p387.598669612152019-02-25T15:47:28;
Sending: p384.855457933952019-02-25T15:47:29;
Sending: p372.310527860502019-02-25T15:47:30;
Sending: p390.583932150342019-02-25T15:47:31;
Sending: p365.185781965292019-02-25T15:47:32;
Sending: p391.106211287042019-02-25T15:47:33;
Sending: p382.728855499862019-02-25T15:47:34;
Sending: p381.24870590222019-02-25T15:47:35;
Sending: p378.309548734112019-02-25T15:47:36;
Sending: p367.514870596702019-02-25T15:47:37;
Sending: p375.895657816682019-02-25T15:47:38;
Sending: p370.716832083712019-02-25T15:47:39;
Sending: p393.553621371782019-02-25T15:47:41;
Sending: p376.351927201092019-02-25T15:47:42;
Sending: p381.755718671102019-02-25T15:47:43;
Sending: p376.310678830512019-02-25T15:47:44;
Sending: p385.624453057602019-02-25T15:47:45;
Sending: p400.336766909952019-02-25T15:47:46;
Sending: p371.859689685912019-02-25T15:47:47;
Sending: p392.633450947822019-02-25T15:47:48;
Sending: p382.601534691582019-02-25T15:47:49;
Sending: p381.037846076032019-02-25T15:47:50;
Sending: p380.869712272142019-02-25T15:47:51;
Sending: p382.558985380652019-02-25T15:47:52;
Sending: p390.192809918262019-02-25T15:47:53;
Sending: p385.111822121752019-02-25T15:47:54;
Sending: p393.246850935242019-02-25T15:47:55;
Sending: p398.861644907582019-02-25T15:47:56;
Sending: p376.518935869572019-02-25T15:47:57;
Sending: p379.230830884662019-02-25T15:47:58;
Sending: p373.089837435692019-02-25T15:47:59;
Sending: p370.757586104012019-02-25T15:48:00;
Sending: p392.677199584442019-02-25T15:48:01;
Sending: p373.459641330652019-02-25T15:48:02;
Sending: p370.147294714072019-02-25T15:48:03;
Sending: p382.008904634722019-02-25T15:48:05;
Sending: p398.193398993732019-02-25T15:48:06;
Sending: p384.855639985532019-02-25T15:48:07;
Sending: p384.770565672902019-02-25T15:48:08;
Sending: p386.22437893902019-02-25T15:48:09;
Sending: p380.658661087672019-02-25T15:48:10;
Sending: p384.855731008692019-02-25T15:48:11;
