Dbg: 18939664 - 3856 | 560 496 132019-02-25T16:05:24;
Connected: COM2019-02-25T16:05:27;
Sending: p1158.53398053242019-02-25T16:05:28;
Sending: p1253.43411483172019-02-25T16:05:29;
Sending: p1158.86333068012019-02-25T16:05:30;
Sending: p1191.27024300182019-02-25T16:05:31;
Sending: p1087.09263052012019-02-25T16:05:32;
Sending: p1267.2142069622019-02-25T16:05:33;
Sending: p1173.49747948492019-02-25T16:05:34;
Sending: p1103.83634588732019-02-25T16:05:35;
Sending: p1141.38165182682019-02-25T16:05:36;
Sending: v702019-02-25T16:05:36;
Valve PWM: 7002019-02-25T16:05:36;
Sending: p1282.50685811982019-02-25T16:05:37;
Sending: p1045.67424374142019-02-25T16:05:38;
Sending: p1074.10885506902019-02-25T16:05:39;
Sending: p1270.54973007562019-02-25T16:05:40;
Sending: p1091.97305403312019-02-25T16:05:41;
Sending: p1194.18205393112019-02-25T16:05:42;
Sending: p1257.27155252962019-02-25T16:05:43;
Sending: v602019-02-25T16:05:44;
Valve PWM: 6002019-02-25T16:05:44;
Sending: p1250.51708746312019-02-25T16:05:44;
Sending: p1125.50197907182019-02-25T16:05:45;
Sending: p1241.64404105592019-02-25T16:05:46;
Sending: p1165.1539548042019-02-25T16:05:48;
Sending: p1199.33932527472019-02-25T16:05:49;
Sending: p1075.00833073872019-02-25T16:05:50;
Sending: v652019-02-25T16:05:50;
Valve PWM: 6502019-02-25T16:05:50;
Sending: p1204.8716611302019-02-25T16:05:51;
Sending: p1147.06230149182019-02-25T16:05:52;
Sending: p1231.24628235492019-02-25T16:05:53;
Sending: p1100.73899884332019-02-25T16:05:54;
Sending: p1253.24989431602019-02-25T16:05:55;
Sending: p1108.81235524162019-02-25T16:05:56;
Sending: v802019-02-25T16:05:56;
Valve PWM: 8002019-02-25T16:05:56;
Sending: p1182.42772298562019-02-25T16:05:57;
Sending: p1103.37119799782019-02-25T16:05:58;
Sending: p1303.20868130652019-02-25T16:05:59;
Sending: v652019-02-25T16:06:00;
Valve PWM: 6502019-02-25T16:06:00;
Sending: p1191.27108843402019-02-25T16:06:00;
Sending: p1144.29716772902019-02-25T16:06:01;
Sending: p1159.52293811572019-02-25T16:06:02;
Sending: p1076.50956836532019-02-25T16:06:03;
Sending: p1172.49272338062019-02-25T16:06:04;
Sending: p1126.29793270552019-02-25T16:06:05;
