03/05/2019;MAP (mmHg);Flow (mL/min);Resistance;Temperature (ºC)
11:02;90,0;1;66,512;20,4
11:07;83,5;1;58,964;21,6
11:12;85,7;1;64,458;23,9
11:17;78,8;1;61,272;25,5
11:22;89,6;1;61,222;26,8
11:27;84,5;1;64,096;27,5
11:32;84,5;1;61,291;28,2
11:37;81,8;1;63,985;32,4
11:42;78,0;1;63,134;35,5
11:47;78,1;1;54,964;36,4
11:52;77,0;1;59,201;36,9
11:57;88,6;1;64,969;37,1
12:02;92,5;1;69,957;36,9
12:07;82,2;1;66,602;36,8
12:12;76,4;1;62,238;37,1
12:17;88,5;1;58,268;37,1
12:22;86,7;1;74,383;37,0
12:27;78,1;1;64,860;37,0
12:32;75,4;1;50,655;37,0
12:37;73,4;1;78,903;37,0
12:42;83,1;1;55,003;37,0
12:47;78,3;1;40,350;37,0
12:52;76,3;1;62,401;37,1
12:57;76,3;1;52,571;37,1
13:02;89,5;1;55,292;37,1
13:07;86,7;1;55,002;37,1
13:12;89,8;1;68,337;37,1
13:17;82,8;1;69,673;37,1
13:22;71,8;1;63,907;37,1
13:27;82,1;1;66,195;37,1
13:32;85,2;1;67,554;37,1
13:37;91,5;1;71,935;37,1
13:42;89,5;1;60,795;37,1
13:47;78,1;1;58,782;37,1
13:52;84,2;1;70,407;37,1
13:57;94,3;1;66,550;37,1
14:02;84,1;1;66,017;37,1
14:07;76,3;1;67,175;37,1
14:12;98,4;1;50,780;37,1
14:17;82,0;1;64,773;37,1
14:22;85,8;1;53,840;37,0
14:27;88,6;1;69,020;37,1
14:32;79,9;1;64,143;37,1
14:37;88,4;1;66,943;37,1
14:42;82,2;1;49,676;37,1
14:47;93,2;1;71,093;37,1
14:52;83,3;1;57,333;37,1
14:57;85,4;1;76,213;37,1
