Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
14-5-2019;16:37:16;Default;2825;ANNE2;0,005;min;95,280;hPa;32,390;deg;4.076;µV;37,000;°C;
14-5-2019;16:37:17;Default;2825;ANNE2;0,021;min;95,010;hPa;32,420;deg;4.076;µV;37,100;°C;
14-5-2019;16:37:18;Default;2825;ANNE2;0,038;min;95,180;hPa;32,390;deg;4.078;µV;37,100;°C;
14-5-2019;16:37:19;Default;2825;ANNE2;0,054;min;94,880;hPa;32,430;deg;4.074;µV;37,100;°C;
14-5-2019;16:37:20;Default;2825;ANNE2;0,071;min;95,130;hPa;32,400;deg;4.087;µV;37,100;°C;
14-5-2019;16:37:21;Default;2825;ANNE2;0,088;min;94,910;hPa;32,430;deg;4.083;µV;37,100;°C;
14-5-2019;16:37:22;Default;2825;ANNE2;0,105;min;95,000;hPa;32,420;deg;4.084;µV;37,100;°C;
14-5-2019;16:37:23;Default;2825;ANNE2;0,122;min;94,960;hPa;32,420;deg;4.088;µV;37,100;°C;
14-5-2019;16:37:24;Default;2825;ANNE2;0,138;min;94,360;hPa;32,490;deg;4.088;µV;37,100;°C;
14-5-2019;16:37:25;Default;2825;ANNE2;0,155;min;94,740;hPa;32,450;deg;4.084;µV;37,000;°C;
14-5-2019;16:37:26;Default;2825;ANNE2;0,172;min;94,700;hPa;32,460;deg;4.082;µV;37,000;°C;
14-5-2019;16:37:27;Default;2825;ANNE2;0,189;min;94,200;hPa;32,510;deg;4.081;µV;37,100;°C;
14-5-2019;16:37:28;Default;2825;ANNE2;0,205;min;94,950;hPa;32,420;deg;4.082;µV;37,100;°C;
14-5-2019;16:37:29;Default;2825;ANNE2;0,222;min;94,820;hPa;32,440;deg;4.082;µV;37,100;°C;
14-5-2019;16:37:30;Default;2825;ANNE2;0,239;min;94,530;hPa;32,480;deg;4.085;µV;37,100;°C;
14-5-2019;16:37:31;Default;2825;ANNE2;0,256;min;94,270;hPa;32,510;deg;4.083;µV;37,100;°C;
14-5-2019;16:37:32;Default;2825;ANNE2;0,272;min;94,360;hPa;32,500;deg;4.092;µV;37,100;°C;
14-5-2019;16:37:33;Default;2825;ANNE2;0,289;min;94,300;hPa;32,500;deg;4.085;µV;37,100;°C;
14-5-2019;16:37:34;Default;2825;ANNE2;0,306;min;94,460;hPa;32,480;deg;4.087;µV;37,100;°C;
14-5-2019;16:37:35;Default;2825;ANNE2;0,323;min;94,760;hPa;32,440;deg;4.091;µV;37,100;°C;
14-5-2019;16:37:36;Default;2825;ANNE2;0,340;min;94,320;hPa;32,500;deg;4.086;µV;37,100;°C;
14-5-2019;16:37:37;Default;2825;ANNE2;0,357;min;94,100;hPa;32,520;deg;4.084;µV;37,100;°C;
14-5-2019;16:37:38;Default;2825;ANNE2;0,373;min;94,620;hPa;32,460;deg;4.088;µV;37,100;°C;
14-5-2019;16:37:39;Default;2825;ANNE2;0,390;min;94,090;hPa;32,530;deg;4.084;µV;37,100;°C;
14-5-2019;16:37:40;Default;2825;ANNE2;0,407;min;94,410;hPa;32,490;deg;4.082;µV;37,100;°C;
14-5-2019;16:37:41;Default;2825;ANNE2;0,424;min;94,350;hPa;32,500;deg;4.086;µV;37,100;°C;
14-5-2019;16:37:42;Default;2825;ANNE2;0,441;min;94,650;hPa;32,460;deg;4.086;µV;37,100;°C;
14-5-2019;16:37:43;Default;2825;ANNE2;0,458;min;94,530;hPa;32,470;deg;4.085;µV;37,100;°C;
14-5-2019;16:37:44;Default;2825;ANNE2;0,475;min;94,370;hPa;32,500;deg;4.081;µV;37,100;°C;
14-5-2019;16:37:45;Default;2825;ANNE2;0,491;min;94,600;hPa;32,460;deg;4.081;µV;37,100;°C;
