Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
6/7/2019;11:53:24 AM;Default;207634378;sensor 2;0.005;min;253.650;hPa;22.180;deg;5,102;µV;36.200;°C;
6/7/2019;11:53:27 AM;Default;207634378;sensor 2;0.055;min;254.080;hPa;22.160;deg;5,105;µV;36.200;°C;
6/7/2019;11:53:30 AM;Default;207634378;sensor 2;0.105;min;253.610;hPa;22.180;deg;5,096;µV;36.200;°C;
6/7/2019;11:53:33 AM;Default;207634378;sensor 2;0.155;min;254.380;hPa;22.150;deg;5,096;µV;36.200;°C;
6/7/2019;11:53:35 AM;Default;207634378;sensor 2;0.200;min;253.890;hPa;22.170;deg;5,093;µV;36.200;°C;
6/7/2019;11:53:36 AM;Default;207634378;sensor 2;0.216;min;255.640;hPa;22.110;deg;5,092;µV;36.200;°C;
6/7/2019;11:53:37 AM;Default;207634378;sensor 2;0.233;min;254.300;hPa;22.150;deg;5,090;µV;36.200;°C;
6/7/2019;11:53:38 AM;Default;207634378;sensor 2;0.250;min;254.460;hPa;22.150;deg;5,091;µV;36.200;°C;
6/7/2019;11:53:39 AM;Default;207634378;sensor 2;0.267;min;254.620;hPa;22.140;deg;5,087;µV;36.200;°C;
6/7/2019;11:53:40 AM;Default;207634378;sensor 2;0.284;min;254.340;hPa;22.150;deg;5,089;µV;36.200;°C;
6/7/2019;11:53:41 AM;Default;207634378;sensor 2;0.301;min;254.740;hPa;22.140;deg;5,083;µV;36.200;°C;
6/7/2019;11:53:42 AM;Default;207634378;sensor 2;0.317;min;255.010;hPa;22.130;deg;5,088;µV;36.200;°C;
6/7/2019;11:53:43 AM;Default;207634378;sensor 2;0.334;min;255.790;hPa;22.100;deg;5,086;µV;36.200;°C;
6/7/2019;11:53:44 AM;Default;207634378;sensor 2;0.351;min;255.740;hPa;22.100;deg;5,085;µV;36.200;°C;
6/7/2019;11:53:45 AM;Default;207634378;sensor 2;0.369;min;255.610;hPa;22.110;deg;5,080;µV;36.200;°C;
6/7/2019;11:53:46 AM;Default;207634378;sensor 2;0.385;min;256.990;hPa;22.060;deg;5,080;µV;36.200;°C;
6/7/2019;11:53:48 AM;Default;207634378;sensor 2;0.401;min;255.830;hPa;22.100;deg;5,081;µV;36.200;°C;
6/7/2019;11:53:49 AM;Default;207634378;sensor 2;0.418;min;255.010;hPa;22.130;deg;5,085;µV;36.200;°C;
6/7/2019;11:53:50 AM;Default;207634378;sensor 2;0.435;min;255.700;hPa;22.110;deg;5,081;µV;36.200;°C;
6/7/2019;11:53:51 AM;Default;207634378;sensor 2;0.452;min;255.470;hPa;22.110;deg;5,084;µV;36.200;°C;
6/7/2019;11:53:52 AM;Default;207634378;sensor 2;0.469;min;255.740;hPa;22.100;deg;5,077;µV;36.200;°C;
6/7/2019;11:53:53 AM;Default;207634378;sensor 2;0.486;min;255.020;hPa;22.120;deg;5,080;µV;36.200;°C;
6/7/2019;11:53:54 AM;Default;207634378;sensor 2;0.503;min;255.130;hPa;22.120;deg;5,075;µV;36.200;°C;
6/7/2019;11:53:55 AM;Default;207634378;sensor 2;0.519;min;256.660;hPa;22.070;deg;5,074;µV;36.200;°C;
6/7/2019;11:53:56 AM;Default;207634378;sensor 2;0.536;min;256.090;hPa;22.090;deg;5,072;µV;36.200;°C;
6/7/2019;11:53:57 AM;Default;207634378;sensor 2;0.553;min;255.970;hPa;22.090;deg;5,071;µV;36.200;°C;
6/7/2019;11:53:58 AM;Default;207634378;sensor 2;0.570;min;255.350;hPa;22.110;deg;5,070;µV;36.200;°C;
6/7/2019;11:53:59 AM;Default;207634378;sensor 2;0.587;min;254.160;hPa;22.160;deg;5,073;µV;36.200;°C;
6/7/2019;11:54:00 AM;Default;207634378;sensor 2;0.604;min;256.570;hPa;22.070;deg;5,068;µV;36.200;°C;
6/7/2019;11:54:01 AM;Default;207634378;sensor 2;0.621;min;255.270;hPa;22.120;deg;5,067;µV;36.200;°C;
6/7/2019;11:54:02 AM;Default;207634378;sensor 2;0.637;min;254.380;hPa;22.150;deg;5,070;µV;36.200;°C;
6/7/2019;11:54:03 AM;Default;207634378;sensor 2;0.654;min;254.370;hPa;22.150;deg;5,067;µV;36.200;°C;
6/7/2019;11:54:04 AM;Default;207634378;sensor 2;0.671;min;256.450;hPa;22.080;deg;5,066;µV;36.200;°C;
6/7/2019;11:54:05 AM;Default;207634378;sensor 2;0.688;min;255.650;hPa;22.100;deg;5,060;µV;36.200;°C;
6/7/2019;11:54:06 AM;Default;207634378;sensor 2;0.705;min;256.390;hPa;22.080;deg;5,064;µV;36.200;°C;
6/7/2019;11:54:07 AM;Default;207634378;sensor 2;0.722;min;256.230;hPa;22.080;deg;5,061;µV;36.200;°C;
6/7/2019;11:54:08 AM;Default;207634378;sensor 2;0.739;min;256.030;hPa;22.090;deg;5,064;µV;36.200;°C;
6/7/2019;11:54:09 AM;Default;207634378;sensor 2;0.756;min;255.040;hPa;22.120;deg;5,062;µV;36.200;°C;
6/7/2019;11:54:10 AM;Default;207634378;sensor 2;0.772;min;256.180;hPa;22.090;deg;5,061;µV;36.200;°C;
6/7/2019;11:54:11 AM;Default;207634378;sensor 2;0.790;min;255.580;hPa;22.110;deg;5,062;µV;36.200;°C;
6/7/2019;11:54:12 AM;Default;207634378;sensor 2;0.806;min;255.800;hPa;22.100;deg;5,060;µV;36.200;°C;
6/7/2019;11:54:13 AM;Default;207634378;sensor 2;0.823;min;255.930;hPa;22.090;deg;5,061;µV;36.200;°C;
6/7/2019;11:54:14 AM;Default;207634378;sensor 2;0.840;min;255.900;hPa;22.090;deg;5,058;µV;36.200;°C;
6/7/2019;11:54:15 AM;Default;207634378;sensor 2;0.858;min;256.860;hPa;22.060;deg;5,052;µV;36.200;°C;
6/7/2019;11:54:16 AM;Default;207634378;sensor 2;0.873;min;256.110;hPa;22.090;deg;5,054;µV;36.200;°C;
6/7/2019;11:54:17 AM;Default;207634378;sensor 2;0.890;min;254.870;hPa;22.130;deg;5,060;µV;36.200;°C;
6/7/2019;11:54:18 AM;Default;207634378;sensor 2;0.907;min;256.880;hPa;22.060;deg;5,055;µV;36.200;°C;
6/7/2019;11:54:19 AM;Default;207634378;sensor 2;0.924;min;256.880;hPa;22.060;deg;5,056;µV;36.200;°C;
6/7/2019;11:54:20 AM;Default;207634378;sensor 2;0.940;min;257.300;hPa;22.040;deg;5,056;µV;36.200;°C;
6/7/2019;11:54:21 AM;Default;207634378;sensor 2;0.958;min;256.460;hPa;22.070;deg;5,050;µV;36.200;°C;
6/7/2019;11:54:22 AM;Default;207634378;sensor 2;0.974;min;256.550;hPa;22.070;deg;5,062;µV;36.200;°C;
6/7/2019;11:54:23 AM;Default;207634378;sensor 2;0.991;min;257.320;hPa;22.040;deg;5,066;µV;36.200;°C;
6/7/2019;11:54:24 AM;Default;207634378;sensor 2;1.007;min;258.570;hPa;22.000;deg;5,067;µV;36.200;°C;
6/7/2019;11:54:25 AM;Default;207634378;sensor 2;1.024;min;258.590;hPa;22.000;deg;5,065;µV;36.200;°C;
