Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
6/7/2019;11:52:40 AM;Default;1306;SENSOR1;0.007;min;57.320;hPa;38.430;deg;97,196;µV;36.200;°C;
6/7/2019;11:52:41 AM;Default;1306;SENSOR1;0.023;min;57.320;hPa;38.430;deg;97,190;µV;36.200;°C;
6/7/2019;11:52:42 AM;Default;1306;SENSOR1;0.040;min;57.270;hPa;38.440;deg;97,180;µV;36.200;°C;
6/7/2019;11:52:43 AM;Default;1306;SENSOR1;0.057;min;57.340;hPa;38.430;deg;97,170;µV;36.200;°C;
6/7/2019;11:52:44 AM;Default;1306;SENSOR1;0.074;min;57.360;hPa;38.430;deg;97,164;µV;36.100;°C;
6/7/2019;11:52:45 AM;Default;1306;SENSOR1;0.090;min;57.370;hPa;38.420;deg;97,167;µV;36.200;°C;
6/7/2019;11:52:46 AM;Default;1306;SENSOR1;0.108;min;57.360;hPa;38.430;deg;97,148;µV;36.200;°C;
6/7/2019;11:52:47 AM;Default;1306;SENSOR1;0.124;min;57.370;hPa;38.430;deg;97,149;µV;36.100;°C;
6/7/2019;11:52:48 AM;Default;1306;SENSOR1;0.141;min;57.330;hPa;38.440;deg;97,157;µV;36.100;°C;
6/7/2019;11:52:49 AM;Default;1306;SENSOR1;0.158;min;57.380;hPa;38.420;deg;97,165;µV;36.200;°C;
6/7/2019;11:52:50 AM;Default;1306;SENSOR1;0.175;min;57.290;hPa;38.440;deg;97,154;µV;36.200;°C;
6/7/2019;11:52:51 AM;Default;1306;SENSOR1;0.191;min;57.340;hPa;38.430;deg;97,159;µV;36.200;°C;
6/7/2019;11:52:52 AM;Default;1306;SENSOR1;0.208;min;57.320;hPa;38.430;deg;97,162;µV;36.200;°C;
6/7/2019;11:52:53 AM;Default;1306;SENSOR1;0.225;min;57.370;hPa;38.420;deg;97,151;µV;36.200;°C;
6/7/2019;11:52:54 AM;Default;1306;SENSOR1;0.242;min;57.330;hPa;38.430;deg;97,153;µV;36.200;°C;
6/7/2019;11:52:55 AM;Default;1306;SENSOR1;0.258;min;57.370;hPa;38.420;deg;97,154;µV;36.200;°C;
6/7/2019;11:52:56 AM;Default;1306;SENSOR1;0.275;min;57.350;hPa;38.430;deg;97,143;µV;36.200;°C;
6/7/2019;11:52:57 AM;Default;1306;SENSOR1;0.292;min;57.370;hPa;38.420;deg;97,150;µV;36.200;°C;
6/7/2019;11:52:58 AM;Default;1306;SENSOR1;0.309;min;57.390;hPa;38.420;deg;97,146;µV;36.200;°C;
6/7/2019;11:52:59 AM;Default;1306;SENSOR1;0.325;min;57.340;hPa;38.430;deg;97,150;µV;36.200;°C;
