Date;Time;User;SensorID;Sensor Name;delta t;Unit;Value;Unit;Phase;Unit;Amplitude;Unit;Temp;Unit
3/4/2019;1:55:36 PM;Default;1306;SENSOR1;0.006;min;91.490;hPa;35.870;deg;97,690;µV;22.000;°C;
3/4/2019;1:55:37 PM;Default;1306;SENSOR1;0.023;min;91.430;hPa;35.880;deg;97,707;µV;22.000;°C;
3/4/2019;1:55:38 PM;Default;1306;SENSOR1;0.039;min;91.480;hPa;35.870;deg;97,714;µV;22.000;°C;
3/4/2019;1:55:39 PM;Default;1306;SENSOR1;0.056;min;91.410;hPa;35.880;deg;97,714;µV;22.000;°C;
3/4/2019;1:55:40 PM;Default;1306;SENSOR1;0.073;min;91.460;hPa;35.870;deg;97,722;µV;22.000;°C;
3/4/2019;1:55:41 PM;Default;1306;SENSOR1;0.089;min;91.440;hPa;35.880;deg;97,734;µV;22.000;°C;
3/4/2019;1:55:42 PM;Default;1306;SENSOR1;0.106;min;91.430;hPa;35.880;deg;97,735;µV;22.000;°C;
3/4/2019;1:55:43 PM;Default;1306;SENSOR1;0.123;min;91.340;hPa;35.890;deg;97,747;µV;22.000;°C;
3/4/2019;1:55:44 PM;Default;1306;SENSOR1;0.140;min;91.420;hPa;35.880;deg;97,757;µV;22.000;°C;
3/4/2019;1:55:45 PM;Default;1306;SENSOR1;0.156;min;91.290;hPa;35.900;deg;97,757;µV;22.000;°C;
3/4/2019;1:55:46 PM;Default;1306;SENSOR1;0.173;min;91.310;hPa;35.890;deg;97,758;µV;22.000;°C;
3/4/2019;1:55:47 PM;Default;1306;SENSOR1;0.190;min;91.300;hPa;35.890;deg;97,775;µV;22.000;°C;
3/4/2019;1:55:48 PM;Default;1306;SENSOR1;0.207;min;91.250;hPa;35.900;deg;97,780;µV;22.000;°C;
3/4/2019;1:55:49 PM;Default;1306;SENSOR1;0.224;min;91.200;hPa;35.910;deg;97,782;µV;22.000;°C;
3/4/2019;1:55:50 PM;Default;1306;SENSOR1;0.241;min;91.250;hPa;35.900;deg;97,788;µV;22.000;°C;
3/4/2019;1:55:51 PM;Default;1306;SENSOR1;0.257;min;91.230;hPa;35.900;deg;97,798;µV;22.000;°C;
3/4/2019;1:55:52 PM;Default;1306;SENSOR1;0.274;min;91.220;hPa;35.900;deg;97,804;µV;22.000;°C;
3/4/2019;1:55:53 PM;Default;1306;SENSOR1;0.291;min;91.230;hPa;35.900;deg;97,808;µV;22.000;°C;
3/4/2019;1:55:54 PM;Default;1306;SENSOR1;0.307;min;91.260;hPa;35.900;deg;97,812;µV;22.000;°C;
3/4/2019;1:55:55 PM;Default;1306;SENSOR1;0.324;min;91.190;hPa;35.910;deg;97,816;µV;22.000;°C;
3/4/2019;1:55:56 PM;Default;1306;SENSOR1;0.341;min;91.130;hPa;35.920;deg;97,825;µV;22.000;°C;
3/4/2019;1:55:57 PM;Default;1306;SENSOR1;0.358;min;91.100;hPa;35.920;deg;97,839;µV;22.000;°C;
3/4/2019;1:55:58 PM;Default;1306;SENSOR1;0.374;min;91.160;hPa;35.910;deg;97,836;µV;22.000;°C;
3/4/2019;1:55:59 PM;Default;1306;SENSOR1;0.391;min;91.130;hPa;35.920;deg;97,841;µV;22.000;°C;
3/4/2019;1:56:00 PM;Default;1306;SENSOR1;0.408;min;91.170;hPa;35.910;deg;97,857;µV;22.000;°C;
3/4/2019;1:56:01 PM;Default;1306;SENSOR1;0.425;min;91.120;hPa;35.920;deg;97,866;µV;22.000;°C;
3/4/2019;1:56:02 PM;Default;1306;SENSOR1;0.442;min;91.050;hPa;35.930;deg;97,866;µV;22.000;°C;
3/4/2019;1:56:03 PM;Default;1306;SENSOR1;0.459;min;91.030;hPa;35.930;deg;97,878;µV;22.000;°C;
3/4/2019;1:56:04 PM;Default;1306;SENSOR1;0.476;min;91.010;hPa;35.930;deg;97,889;µV;22.000;°C;
3/4/2019;1:56:05 PM;Default;1306;SENSOR1;0.493;min;90.980;hPa;35.940;deg;97,897;µV;22.000;°C;
3/4/2019;1:56:06 PM;Default;1306;SENSOR1;0.510;min;90.970;hPa;35.940;deg;97,899;µV;22.000;°C;
3/4/2019;1:56:07 PM;Default;1306;SENSOR1;0.526;min;90.980;hPa;35.940;deg;97,918;µV;22.000;°C;
3/4/2019;1:56:08 PM;Default;1306;SENSOR1;0.543;min;90.890;hPa;35.950;deg;97,934;µV;22.000;°C;
3/4/2019;1:56:09 PM;Default;1306;SENSOR1;0.560;min;90.880;hPa;35.950;deg;97,937;µV;22.000;°C;
3/4/2019;1:56:10 PM;Default;1306;SENSOR1;0.576;min;90.870;hPa;35.950;deg;97,946;µV;22.000;°C;
3/4/2019;1:56:11 PM;Default;1306;SENSOR1;0.593;min;90.870;hPa;35.950;deg;97,955;µV;22.000;°C;
3/4/2019;1:56:12 PM;Default;1306;SENSOR1;0.610;min;90.970;hPa;35.940;deg;97,962;µV;22.000;°C;
3/4/2019;1:56:13 PM;Default;1306;SENSOR1;0.627;min;90.820;hPa;35.960;deg;97,971;µV;22.000;°C;
3/4/2019;1:56:14 PM;Default;1306;SENSOR1;0.644;min;90.840;hPa;35.950;deg;97,973;µV;22.000;°C;
3/4/2019;1:56:15 PM;Default;1306;SENSOR1;0.661;min;90.780;hPa;35.960;deg;97,978;µV;22.000;°C;
3/4/2019;1:56:16 PM;Default;1306;SENSOR1;0.678;min;90.760;hPa;35.960;deg;98,001;µV;22.000;°C;
3/4/2019;1:56:17 PM;Default;1306;SENSOR1;0.694;min;90.760;hPa;35.960;deg;98,000;µV;22.000;°C;
3/4/2019;1:56:18 PM;Default;1306;SENSOR1;0.712;min;90.810;hPa;35.960;deg;98,011;µV;22.000;°C;
3/4/2019;1:56:19 PM;Default;1306;SENSOR1;0.728;min;90.740;hPa;35.970;deg;98,021;µV;22.000;°C;
3/4/2019;1:56:20 PM;Default;1306;SENSOR1;0.745;min;90.670;hPa;35.980;deg;98,022;µV;22.000;°C;
3/4/2019;1:56:21 PM;Default;1306;SENSOR1;0.762;min;90.680;hPa;35.980;deg;98,046;µV;22.000;°C;
3/4/2019;1:56:22 PM;Default;1306;SENSOR1;0.779;min;90.600;hPa;35.990;deg;98,045;µV;22.000;°C;
3/4/2019;1:56:23 PM;Default;1306;SENSOR1;0.795;min;90.660;hPa;35.980;deg;98,060;µV;22.000;°C;
3/4/2019;1:56:24 PM;Default;1306;SENSOR1;0.812;min;90.580;hPa;35.990;deg;98,057;µV;22.000;°C;
3/4/2019;1:56:25 PM;Default;1306;SENSOR1;0.829;min;90.610;hPa;35.980;deg;98,071;µV;22.000;°C;
3/4/2019;1:56:26 PM;Default;1306;SENSOR1;0.845;min;90.550;hPa;35.990;deg;98,075;µV;22.000;°C;
3/4/2019;1:56:27 PM;Default;1306;SENSOR1;0.862;min;90.540;hPa;35.990;deg;98,072;µV;22.000;°C;
3/4/2019;1:56:28 PM;Default;1306;SENSOR1;0.879;min;90.640;hPa;35.980;deg;98,086;µV;22.000;°C;
3/4/2019;1:56:30 PM;Default;1306;SENSOR1;0.896;min;90.560;hPa;35.990;deg;98,098;µV;22.000;°C;
3/4/2019;1:56:31 PM;Default;1306;SENSOR1;0.912;min;90.550;hPa;35.990;deg;98,111;µV;22.000;°C;
